number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0.5318046825343835,2024-03-19 15:18:02.303115,2024-03-19 15:19:18.587692,0 days 00:01:16.284577,5.529672240431005e-07,dart,0.4473370838055825,0.06317202014645798,0.3861132955940535,lossguide,6.099853423886777e-08,17,14,230,forest,0.08818505961401972,weighted,5.735334620570272e-05,0.9101743199862669,COMPLETE
1,0.48441961014504986,2024-03-19 15:19:18.588694,2024-03-19 15:19:26.405832,0 days 00:00:07.817138,0.0008897019888920629,gbtree,0.32697300633158866,0.06570203988214436,9.452354819643317e-07,lossguide,5.487577330091264e-07,13,14,210,,,,,0.24817057834991713,COMPLETE
2,0.5287783921992241,2024-03-19 15:19:26.406835,2024-03-19 15:19:55.460627,0 days 00:00:29.053792,4.527393100907792e-07,gbtree,0.7640456230125572,0.08504228084927608,2.0687961484101226e-05,lossguide,0.48633825955158516,17,12,240,,,,,0.5953125199156251,COMPLETE
3,0.48946184344051186,2024-03-19 15:19:55.460627,2024-03-19 15:20:57.150708,0 days 00:01:01.690081,0.00017274073272716852,dart,0.28723727389131376,0.05818690501533898,0.00011146464854627395,lossguide,1.712391238010769e-08,15,12,220,forest,0.006211340905955457,uniform,1.8499088998803216e-08,0.24084527069546946,COMPLETE
4,0.5286637340355517,2024-03-19 15:20:57.152357,2024-03-19 15:21:28.124037,0 days 00:00:30.971680,3.0111446224019788e-05,gbtree,0.962723661548847,0.08361565627942133,0.15384532861857883,depthwise,3.6188925416377394e-07,15,8,230,,,,,0.5234401592718794,COMPLETE
5,0.524689324726018,2024-03-19 15:21:28.125040,2024-03-19 15:21:40.297309,0 days 00:00:12.172269,3.236477127197076e-07,gbtree,0.459682988160401,0.05170420435816704,5.706955955151366e-08,depthwise,0.0068983668635490495,14,12,200,,,,,0.4356422875767339,COMPLETE
6,0.5414878210739116,2024-03-19 15:21:40.298297,2024-03-19 15:23:07.998364,0 days 00:01:27.700067,0.03223641512068302,dart,0.6586019050626071,0.02369480365357097,0.004713080461773333,depthwise,0.049257524988522323,17,12,230,forest,9.509018530284921e-08,uniform,0.00034028492569954355,0.8668075758668763,COMPLETE
7,0.49278004425984123,2024-03-19 15:23:07.999367,2024-03-19 15:23:15.689892,0 days 00:00:07.690525,0.26354313323536005,gbtree,0.35975688639412984,0.055629837279272176,4.096081239566653e-07,lossguide,0.02725245309412407,15,14,200,,,,,0.28179731756293985,COMPLETE
8,0.528723203667818,2024-03-19 15:23:15.690894,2024-03-19 15:23:45.600865,0 days 00:00:29.909971,1.4102262502402465e-06,gbtree,0.988238864908648,0.09396656336268532,0.6057904058078298,lossguide,4.419170631075056e-08,17,14,220,,,,,0.9325530246086491,COMPLETE
9,0.4989052686220897,2024-03-19 15:23:45.602194,2024-03-19 15:23:56.162745,0 days 00:00:10.560551,0.007036672335430447,gbtree,0.42403080652319325,0.0759663867626513,9.074055855424152e-06,lossguide,1.9052116963436784e-06,16,14,240,,,,,0.2764378766790568,COMPLETE
