number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
20,0.5044433959758388,0.3109242104617021,2024-03-12 19:06:12.604291,2024-03-12 19:13:23.240998,0 days 00:07:10.636707,0.0024430774918895097,gbtree,0.9454408954549658,0.000598159411686443,lossguide,0.5240774802375029,7,4,140,,,,,0.7516414664527582,0,COMPLETE
21,0.4571891651259411,0.34121828231240736,2024-03-12 19:13:23.242003,2024-03-12 19:16:35.454835,0 days 00:03:12.212832,2.2733638228877402e-08,gbtree,0.7261032906790303,2.2488616286004592e-05,depthwise,2.4123501253187086e-06,7,8,180,,,,,0.22381167643015631,0,COMPLETE
22,0.4928896446304982,0.3185289725816168,2024-03-12 19:16:35.455851,2024-03-12 19:26:42.540821,0 days 00:10:07.084970,3.23717945433999e-07,dart,0.7619110615165878,0.010657514592208059,lossguide,8.972739463726429e-05,7,9,120,forest,2.8605276751790075e-07,weighted,0.10037397213848899,0.8894730467436793,0,COMPLETE
23,0.5341270214772809,0.29289573309831635,2024-03-12 19:26:42.541838,2024-03-12 19:36:14.180980,0 days 00:09:31.639142,0.061327443850730114,gbtree,0.7407990764744972,7.56734520243043e-05,lossguide,2.492518161523625e-07,9,10,180,,,,,0.7740097492700369,0,COMPLETE
24,0.4591436387532079,0.33904949258065925,2024-03-12 19:36:14.182031,2024-03-12 19:38:35.263223,0 days 00:02:21.081192,0.0002581616677660431,gbtree,0.5519203164304851,0.00013106654753950332,lossguide,0.004163579651988602,7,4,100,,,,,0.4332846280350602,0,COMPLETE
25,0.5139547903475608,0.3055465168429786,2024-03-12 19:38:35.264225,2024-03-12 19:49:19.409473,0 days 00:10:44.145248,1.2235203209531351e-07,gbtree,0.9932398299558318,0.012678904752301436,depthwise,1.2464472161743803e-07,7,5,220,,,,,0.5926537507049527,0,COMPLETE
26,0.5184280271196151,0.3030775415010062,2024-03-12 19:49:19.410014,2024-03-12 19:59:18.246617,0 days 00:09:58.836603,0.4522705898521391,gbtree,0.8735704717202759,0.10719331952102797,lossguide,2.1555015192800466e-08,7,4,240,,,,,0.5455661310501939,0,COMPLETE
27,0.4339047792308657,0.35472200733064957,2024-03-12 19:59:18.246617,2024-03-12 20:00:26.361118,0 days 00:01:08.114501,0.07046243756053487,gbtree,0.20642878166511336,0.010436726225044306,depthwise,0.0006234197112952594,5,7,200,,,,,0.33578820605672943,0,COMPLETE
28,0.4790878241143906,0.3263869955573794,2024-03-12 20:00:26.363137,2024-03-12 20:08:51.099108,0 days 00:08:24.735971,1.844172357401714e-05,dart,0.7338190462974457,0.2938069262103764,depthwise,1.9686439907179634e-07,7,5,120,tree,0.00029390019692557946,weighted,0.0007874033332754357,0.5410887107762488,0,COMPLETE
29,0.4761427880037652,0.3287784301963542,2024-03-12 20:08:51.101113,2024-03-12 20:12:44.704737,0 days 00:03:53.603624,2.8921453252479028e-08,gbtree,0.830879383434562,1.2313027697697246e-06,depthwise,0.49909996459611494,9,4,100,,,,,0.3888674006134026,0,COMPLETE
