number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
25,-0.096321143954742,0.6881349191905726,2024-03-09 18:30:47.465335,2024-03-09 18:32:20.901909,0 days 00:01:33.436574,0.0010262493685666786,gbtree,0.3357357248605579,1.538986227322145e-05,0.0016329567223160248,lossguide,4.641971345594242e-05,5,7,100,,,,,0.9849771271742374,0,COMPLETE
26,-0.08931593832279909,0.6672376705012312,2024-03-09 18:32:20.903909,2024-03-09 18:38:02.089331,0 days 00:05:41.185422,0.01664520693256511,dart,0.723248699958204,0.7548845307642305,0.5337499697226323,depthwise,3.8333624322618344e-07,3,2,120,forest,0.001858620802020731,uniform,3.0597109748532555e-08,0.3915141079347846,0,COMPLETE
27,0.4205058758866544,0.3622403989612876,2024-03-09 18:38:02.091416,2024-03-09 18:59:17.345182,0 days 00:21:15.253766,0.00557391599282582,dart,0.3708807938961347,0.17749960044444962,0.09098041309281624,depthwise,4.912660870221868e-08,3,4,260,tree,0.00024570410975234373,weighted,0.017825155374451306,0.5059477297711013,0,COMPLETE
28,-0.0972220026414052,0.6887085808233164,2024-03-09 18:59:17.345182,2024-03-09 19:20:18.614684,0 days 00:21:01.269502,0.05246835408202981,dart,0.20996913974710615,7.427132802621175e-08,6.864788722326466e-06,lossguide,0.0013970163803287898,5,4,260,tree,0.020697709870134563,uniform,0.034084501072937985,0.4755531636641296,0,COMPLETE
29,-0.09722379878901584,0.6887098810153556,2024-03-09 19:20:18.615860,2024-03-09 19:28:23.459541,0 days 00:08:04.843681,6.13299561599565e-07,gbtree,0.8190323649660527,1.178950797314729e-08,9.78724059486901e-08,lossguide,2.2831355139109817e-07,7,3,180,,,,,0.7896186784204471,0,COMPLETE
30,-0.06714518512982834,0.6695786709953417,2024-03-09 19:28:23.460540,2024-03-09 19:54:11.637208,0 days 00:25:48.176668,0.6314567793566942,dart,0.41970357437979944,0.00019878009793050706,2.420260037671136e-08,lossguide,8.534312597077937e-07,5,2,280,forest,0.008210691043222664,uniform,0.04115492324610911,0.3756258406889861,0,COMPLETE
31,-0.09713383647420937,0.6886519298028785,2024-03-09 19:54:11.637208,2024-03-09 19:55:27.444092,0 days 00:01:15.806884,6.293938703022598e-05,gbtree,0.3298673628717891,1.7193251929980533e-06,5.856809074273429e-07,lossguide,0.03297100815059258,3,4,140,,,,,0.9970601285756575,0,COMPLETE
32,-0.09722379878901584,0.6887098810153556,2024-03-09 19:55:27.445094,2024-03-09 20:01:06.599347,0 days 00:05:39.154253,0.001195171510834914,dart,0.5188765963628119,2.4752897689217273e-08,5.8609370022107485e-08,lossguide,3.0916387699987576e-08,3,2,120,forest,0.0020538663408615552,uniform,1.7425942092987573e-06,0.7375725975700642,0,COMPLETE
33,0.49276278164641507,0.31845984986506937,2024-03-09 20:01:06.607397,2024-03-09 20:34:09.772054,0 days 00:33:03.164657,0.003248255399924014,dart,0.6403280387338683,0.11077950067426404,1.2049398266358858e-05,depthwise,0.003947019882399287,5,10,300,forest,0.007025439106611178,weighted,1.8448679078409036e-07,0.4871180401993928,0,COMPLETE
34,-0.09702197298735737,0.6885797967315574,2024-03-09 20:34:09.773056,2024-03-09 20:35:14.308003,0 days 00:01:04.534947,0.01689287437256059,gbtree,0.20279564169430175,2.321397623607735e-06,5.529930608593912e-07,lossguide,7.068620519095441e-08,3,3,240,,,,,0.4255952735737563,0,COMPLETE
