number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
35,0.40966462945318216,0.36880722140761324,2024-03-14 21:23:32.238963,2024-03-14 21:24:08.504243,0 days 00:00:36.265280,friedman_mse,9,,300,3,8,280,0,COMPLETE
36,0.3203024862194108,0.4247611351780572,2024-03-14 21:24:08.505246,2024-03-14 21:24:10.631796,0 days 00:00:02.126550,squared_error,11,sqrt,100,5,10,160,0,COMPLETE
37,0.37441629576461277,0.39549382554002455,2024-03-14 21:24:10.631796,2024-03-14 22:32:35.740659,0 days 01:08:25.108863,absolute_error,9,,700,5,6,280,0,COMPLETE
38,0.3242995426374164,0.4218338501300566,2024-03-14 22:32:35.741662,2024-03-14 22:32:40.879028,0 days 00:00:05.137366,friedman_mse,13,sqrt,100,3,10,180,0,COMPLETE
39,0.4231307769486891,0.36018823807011763,2024-03-14 22:32:40.880030,2024-03-14 22:32:47.950619,0 days 00:00:07.070589,friedman_mse,13,sqrt,400,1,10,300,0,COMPLETE
40,0.3224054052990105,0.42293713926011633,2024-03-14 22:32:47.952626,2024-03-14 22:32:51.221374,0 days 00:00:03.268748,friedman_mse,11,sqrt,100,3,6,260,0,COMPLETE
41,0.4249997418806152,0.3622064716105864,2024-03-14 22:32:51.222375,2024-03-14 23:13:07.546002,0 days 00:40:16.323627,absolute_error,11,,800,3,2,160,0,COMPLETE
42,0.44304024784293217,0.34888868130646516,2024-03-14 23:13:07.547018,2024-03-14 23:13:36.702371,0 days 00:00:29.155353,friedman_mse,11,,900,5,10,180,0,COMPLETE
43,0.47856921601466523,0.32737438149022235,2024-03-14 23:13:36.703796,2024-03-14 23:14:20.944637,0 days 00:00:44.240841,squared_error,15,,700,5,2,220,0,COMPLETE
44,0.40578474279827115,0.37156596423708566,2024-03-14 23:14:20.946637,2024-03-14 23:14:55.811181,0 days 00:00:34.864544,squared_error,9,,600,5,2,280,0,COMPLETE
45,0.42924098083457096,0.35691146633861703,2024-03-14 23:14:55.812184,2024-03-14 23:15:24.247198,0 days 00:00:28.435014,squared_error,11,,200,5,8,200,0,COMPLETE
46,0.39776950097013686,0.3765657123353243,2024-03-14 23:15:24.248201,2024-03-14 23:15:28.460129,0 days 00:00:04.211928,squared_error,11,sqrt,700,3,10,260,0,COMPLETE
47,0.4042874907716173,0.3721274653863385,2024-03-14 23:15:28.461130,2024-03-14 23:15:32.748887,0 days 00:00:04.287757,friedman_mse,11,sqrt,600,1,10,260,0,COMPLETE
48,0.4110009195624095,0.36760119361578497,2024-03-14 23:15:32.750889,2024-03-14 23:15:58.453490,0 days 00:00:25.702601,friedman_mse,9,,800,1,4,200,0,COMPLETE
49,0.35210482071442833,0.40455843545846876,2024-03-14 23:15:58.454492,2024-03-14 23:16:01.233567,0 days 00:00:02.779075,friedman_mse,9,sqrt,400,1,8,200,0,COMPLETE
50,0.3799402192155731,0.388094940217694,2024-03-14 23:16:01.235586,2024-03-14 23:16:03.806401,0 days 00:00:02.570815,squared_error,11,sqrt,300,5,8,160,1,COMPLETE
51,0.3162112982779203,0.4345622336336642,2024-03-14 23:16:03.807846,2024-03-14 23:19:14.886510,0 days 00:03:11.078664,absolute_error,9,sqrt,400,5,8,180,1,COMPLETE
52,0.4428446790151413,0.34886393376455516,2024-03-14 23:19:14.887889,2024-03-14 23:19:49.141794,0 days 00:00:34.253905,friedman_mse,11,,900,5,6,220,1,COMPLETE
53,0.3842022369657149,0.38545693122840147,2024-03-14 23:19:49.141794,2024-03-14 23:19:52.769638,0 days 00:00:03.627844,friedman_mse,11,sqrt,900,5,10,220,1,COMPLETE
54,0.3239097890724416,0.42201843678869155,2024-03-14 23:19:52.769638,2024-03-14 23:19:55.151964,0 days 00:00:02.382326,friedman_mse,15,sqrt,100,3,8,180,1,COMPLETE
55,0.46487858955952355,0.335628784204249,2024-03-14 23:19:55.152966,2024-03-15 00:30:53.417624,0 days 01:10:58.264658,absolute_error,13,,900,1,2,280,1,COMPLETE
56,0.40097623789493875,0.37415094243853164,2024-03-15 00:30:53.419336,2024-03-15 00:30:58.852972,0 days 00:00:05.433636,squared_error,11,sqrt,800,3,2,160,1,COMPLETE
57,0.428695515336719,0.360142227677828,2024-03-15 00:30:58.854754,2024-03-15 00:34:47.242744,0 days 00:03:48.387990,absolute_error,15,sqrt,600,1,2,200,1,COMPLETE
58,0.46895191355827137,0.3315709229035275,2024-03-15 00:34:47.242744,2024-03-15 00:35:39.836576,0 days 00:00:52.593832,friedman_mse,13,,400,1,8,300,1,COMPLETE
59,0.40518140197292773,0.37205180938791693,2024-03-15 00:35:39.836576,2024-03-15 00:36:04.747758,0 days 00:00:24.911182,friedman_mse,9,,700,5,8,200,1,COMPLETE
60,0.4583047022363436,0.3387759347566766,2024-03-15 00:36:04.750271,2024-03-15 00:36:10.231705,0 days 00:00:05.481434,squared_error,15,sqrt,800,1,10,260,1,COMPLETE
61,0.405761181198424,0.3715824750833391,2024-03-15 00:36:10.233293,2024-03-15 00:36:45.259926,0 days 00:00:35.026633,friedman_mse,9,,700,5,6,280,1,COMPLETE
62,0.38392696788231084,0.3856138232065856,2024-03-15 00:36:45.259926,2024-03-15 00:36:48.760727,0 days 00:00:03.500801,friedman_mse,11,sqrt,400,5,4,220,1,COMPLETE
63,0.45606332858256443,0.3429938097740204,2024-03-15 00:36:48.762762,2024-03-15 01:20:58.125586,0 days 00:44:09.362824,absolute_error,15,,700,5,10,180,1,COMPLETE
64,0.458122720734507,0.3378046237864282,2024-03-15 01:20:58.125586,2024-03-15 01:21:03.681938,0 days 00:00:05.556352,friedman_mse,13,sqrt,800,1,2,180,1,COMPLETE
65,0.4481058345778103,0.3453181892890178,2024-03-15 01:21:03.681938,2024-03-15 01:21:08.818772,0 days 00:00:05.136834,friedman_mse,15,sqrt,800,3,2,160,1,COMPLETE
66,0.4460974486378032,0.3462033750907991,2024-03-15 01:21:08.818772,2024-03-15 01:21:45.036532,0 days 00:00:36.217760,friedman_mse,11,,300,3,8,240,1,COMPLETE
67,0.4311502266204107,0.3551931183346496,2024-03-15 01:21:45.036532,2024-03-15 01:22:19.041838,0 days 00:00:34.005306,squared_error,11,,200,3,4,240,1,COMPLETE
68,0.4249997418806152,0.3622064716105864,2024-03-15 01:22:19.041838,2024-03-15 02:01:11.867757,0 days 00:38:52.825919,absolute_error,11,,800,3,2,160,1,COMPLETE
69,0.3823712866428124,0.390646512489906,2024-03-15 02:01:11.867757,2024-03-15 02:04:31.078553,0 days 00:03:19.210796,absolute_error,15,sqrt,300,1,4,180,1,COMPLETE
70,0.4019449412078065,0.37349778810796086,2024-03-15 02:04:31.078553,2024-03-15 02:04:36.807079,0 days 00:00:05.728526,friedman_mse,11,sqrt,900,3,4,240,1,COMPLETE
71,0.40521314384729007,0.37202446079315965,2024-03-15 02:04:36.807079,2024-03-15 02:05:01.246813,0 days 00:00:24.439734,squared_error,9,,700,5,2,200,1,COMPLETE
72,0.4523616056614198,0.34239902766006014,2024-03-15 02:05:01.246813,2024-03-15 02:05:39.052396,0 days 00:00:37.805583,friedman_mse,11,,1000,3,4,240,1,COMPLETE
73,0.3302977725207613,0.42490867812274535,2024-03-15 02:05:39.052396,2024-03-15 02:10:37.951369,0 days 00:04:58.898973,absolute_error,9,sqrt,900,1,6,280,1,COMPLETE
74,0.46582635874224554,0.3349346916050024,2024-03-15 02:10:37.951369,2024-03-15 02:11:19.813520,0 days 00:00:41.862151,squared_error,13,,900,5,8,240,1,COMPLETE
75,0.35746300779794077,0.4009091316144516,2024-03-15 02:11:19.815528,2024-03-15 02:11:24.322715,0 days 00:00:04.507187,squared_error,9,sqrt,600,1,2,280,1,COMPLETE
76,0.33966901390800786,0.4128859328239269,2024-03-15 02:11:24.322715,2024-03-15 02:11:27.483960,0 days 00:00:03.161245,friedman_mse,9,sqrt,500,5,2,240,1,COMPLETE
77,0.4297958609416133,0.35847010378876104,2024-03-15 02:11:27.486973,2024-03-15 03:14:48.625892,0 days 01:03:21.138919,absolute_error,11,,500,1,2,260,1,COMPLETE
78,0.3503992706728037,0.405711748410158,2024-03-15 03:14:48.628898,2024-03-15 03:14:54.666063,0 days 00:00:06.037165,squared_error,9,sqrt,900,1,10,260,1,COMPLETE
79,0.4254887541307551,0.36200256252695767,2024-03-15 03:14:54.666063,2024-03-15 04:07:58.551845,0 days 00:53:03.885782,absolute_error,11,,800,3,2,220,1,COMPLETE
80,0.364406573321459,0.4028474817047118,2024-03-15 04:07:58.551845,2024-03-15 04:12:39.522732,0 days 00:04:40.970887,absolute_error,11,sqrt,800,5,8,260,1,COMPLETE
81,0.39041270468812,0.3805507249988151,2024-03-15 04:12:39.525178,2024-03-15 04:12:44.333340,0 days 00:00:04.808162,squared_error,11,sqrt,300,3,6,200,1,COMPLETE
82,0.4555505240829484,0.34327716520150836,2024-03-15 04:12:44.333340,2024-03-15 04:51:42.008052,0 days 00:38:57.674712,absolute_error,15,,700,5,10,160,1,COMPLETE
83,0.4037584175414972,0.3726475703623427,2024-03-15 04:51:42.008052,2024-03-15 04:51:46.346216,0 days 00:00:04.338164,friedman_mse,11,sqrt,900,1,10,160,1,COMPLETE
84,0.40765915456072815,0.370175986353632,2024-03-15 04:51:46.348249,2024-03-15 04:52:10.134717,0 days 00:00:23.786468,friedman_mse,9,,200,3,8,180,1,COMPLETE
85,0.37767587813846615,0.38862616707115794,2024-03-15 04:52:10.134717,2024-03-15 04:52:12.568783,0 days 00:00:02.434066,friedman_mse,15,sqrt,200,3,4,160,1,COMPLETE
86,0.44651177647654416,0.3457553862670419,2024-03-15 04:52:12.568783,2024-03-15 04:52:37.879081,0 days 00:00:25.310298,squared_error,11,,500,1,10,160,1,COMPLETE
87,0.4696583387690117,0.3317205465315154,2024-03-15 04:52:37.879081,2024-03-15 04:53:29.453683,0 days 00:00:51.574602,friedman_mse,13,,400,3,2,300,1,COMPLETE
88,0.33966901390800786,0.4128859328239269,2024-03-15 04:53:29.453683,2024-03-15 04:53:32.655849,0 days 00:00:03.202166,friedman_mse,9,sqrt,500,5,8,240,1,COMPLETE
89,0.46534232688099025,0.33521535471080144,2024-03-15 04:53:32.658380,2024-03-15 04:54:11.220392,0 days 00:00:38.562012,squared_error,13,,500,5,8,220,1,COMPLETE
90,0.397874609427961,0.37654371696400746,2024-03-15 04:54:11.220392,2024-03-15 04:54:15.117158,0 days 00:00:03.896766,friedman_mse,11,sqrt,900,3,10,240,1,COMPLETE
91,0.3841896074212599,0.38540854225191606,2024-03-15 04:54:15.117158,2024-03-15 04:54:19.564318,0 days 00:00:04.447160,squared_error,11,sqrt,1000,5,6,280,1,COMPLETE
92,0.4296233143118723,0.35600226964131176,2024-03-15 04:54:19.564318,2024-03-15 04:54:23.442410,0 days 00:00:03.878092,friedman_mse,15,sqrt,400,1,8,220,1,COMPLETE
93,0.408246658273048,0.3705277364082898,2024-03-15 04:54:23.442410,2024-03-15 04:54:26.374720,0 days 00:00:02.932310,squared_error,13,sqrt,500,5,8,160,1,COMPLETE
94,0.4524473243473179,0.34235906815777073,2024-03-15 04:54:26.374720,2024-03-15 04:55:04.854490,0 days 00:00:38.479770,squared_error,11,,1000,3,4,240,1,COMPLETE
95,0.37371776402557516,0.39147983900342076,2024-03-15 04:55:04.854490,2024-03-15 04:55:07.603017,0 days 00:00:02.748527,friedman_mse,15,sqrt,200,5,4,180,1,COMPLETE
96,0.4407663581339065,0.3500701410127526,2024-03-15 04:55:07.603017,2024-03-15 04:55:37.697731,0 days 00:00:30.094714,friedman_mse,11,,300,5,8,200,1,COMPLETE
97,0.4531496464362467,0.34134323909030695,2024-03-15 04:55:37.697731,2024-03-15 04:56:18.993031,0 days 00:00:41.295300,friedman_mse,11,,900,1,6,260,1,COMPLETE
98,0.4502646321259176,0.34318011192326503,2024-03-15 04:56:18.995543,2024-03-15 04:56:56.274408,0 days 00:00:37.278865,friedman_mse,11,,800,1,8,240,1,COMPLETE
99,0.42781074723585755,0.36073432738600947,2024-03-15 04:56:56.274408,2024-03-15 04:59:54.889056,0 days 00:02:58.614648,absolute_error,15,sqrt,600,1,2,160,1,COMPLETE
