number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
0,0.34782612929599166,0.40744917774240985,2024-03-14 14:00:36.531041,2024-03-14 14:00:42.709382,0 days 00:00:06.178341,squared_error,9,sqrt,800,3,8,280,0,COMPLETE
1,0.31705580543475637,0.434019716455689,2024-03-14 14:00:42.709382,2024-03-14 14:04:22.965606,0 days 00:03:40.256224,absolute_error,9,sqrt,600,5,2,220,0,COMPLETE
2,0.3516938547034435,0.40991603488419237,2024-03-14 14:04:22.967607,2024-03-14 15:11:07.123906,0 days 01:06:44.156299,absolute_error,9,,100,3,10,280,0,COMPLETE
3,0.44512750813622615,0.34630352075055787,2024-03-14 15:11:07.124909,2024-03-14 15:11:39.998201,0 days 00:00:32.873292,friedman_mse,11,,300,1,8,200,0,COMPLETE
4,0.37598515952554135,0.39416363163208884,2024-03-14 15:11:39.998201,2024-03-14 15:50:14.688188,0 days 00:38:34.689987,absolute_error,9,,700,3,10,160,0,COMPLETE
5,0.40095872904537205,0.3741551287738102,2024-03-14 15:50:14.688188,2024-03-14 15:50:19.209566,0 days 00:00:04.521378,friedman_mse,11,sqrt,900,3,2,160,0,COMPLETE
6,0.3810664799538862,0.3903843122966276,2024-03-14 15:50:19.209566,2024-03-14 16:54:50.164476,0 days 01:04:30.954910,absolute_error,9,,900,1,4,260,0,COMPLETE
7,0.4555505240829484,0.34327716520150836,2024-03-14 16:54:50.165479,2024-03-14 17:34:56.724097,0 days 00:40:06.558618,absolute_error,15,,700,5,10,160,0,COMPLETE
8,0.4293582823244931,0.3596707758672798,2024-03-14 17:34:56.726118,2024-03-14 17:40:33.048877,0 days 00:05:36.322759,absolute_error,15,sqrt,600,1,2,280,0,COMPLETE
9,0.4554900371830394,0.3417889696002031,2024-03-14 17:40:33.049876,2024-03-14 18:47:45.266557,0 days 01:07:12.216681,absolute_error,13,,500,1,2,260,0,COMPLETE
10,0.325927626966922,0.4279467033508377,2024-03-14 18:47:45.267576,2024-03-14 18:52:58.559010,0 days 00:05:13.291434,absolute_error,9,sqrt,900,3,6,280,0,COMPLETE
11,0.41380152804007714,0.3658058827688567,2024-03-14 18:52:58.561016,2024-03-14 18:53:02.271806,0 days 00:00:03.710790,squared_error,11,sqrt,700,1,6,200,0,COMPLETE
12,0.420431960948636,0.3631777867545659,2024-03-14 18:53:02.273810,2024-03-14 18:53:08.603421,0 days 00:00:06.329611,squared_error,15,sqrt,800,5,8,240,0,COMPLETE
13,0.3209407631863434,0.43121666352633603,2024-03-14 18:53:08.604929,2024-03-14 18:57:05.470008,0 days 00:03:56.865079,absolute_error,9,sqrt,200,3,10,220,0,COMPLETE
14,0.33966901390800786,0.4128859328239269,2024-03-14 18:57:05.471011,2024-03-14 18:57:08.732591,0 days 00:00:03.261580,friedman_mse,9,sqrt,500,5,8,240,0,COMPLETE
15,0.4529327710565358,0.34146434274342546,2024-03-14 18:57:08.732591,2024-03-14 18:57:47.319452,0 days 00:00:38.586861,friedman_mse,11,,600,1,6,240,0,COMPLETE
16,0.29560554845867015,0.4483794186346534,2024-03-14 18:57:47.320455,2024-03-14 19:01:21.090656,0 days 00:03:33.770201,absolute_error,11,sqrt,100,5,2,200,0,COMPLETE
17,0.4524473243473179,0.34235906815777073,2024-03-14 19:01:21.091658,2024-03-14 19:02:00.081350,0 days 00:00:38.989692,squared_error,11,,1000,3,4,240,0,COMPLETE
18,0.32576450467809137,0.42804083489536077,2024-03-14 19:02:00.082350,2024-03-14 19:07:30.247381,0 days 00:05:30.165031,absolute_error,9,sqrt,1000,3,6,300,0,COMPLETE
19,0.34618110881495623,0.4084622849316875,2024-03-14 19:07:30.248380,2024-03-14 19:07:32.729036,0 days 00:00:02.480656,squared_error,9,sqrt,600,3,8,160,0,COMPLETE
20,0.37371776402557516,0.39147983900342076,2024-03-14 19:07:32.730037,2024-03-14 19:07:37.125820,0 days 00:00:04.395783,friedman_mse,15,sqrt,200,5,4,180,0,COMPLETE
21,0.4427235927216354,0.349004006489816,2024-03-14 19:07:37.126823,2024-03-14 19:08:07.606767,0 days 00:00:30.479944,friedman_mse,11,,700,5,2,200,0,COMPLETE
22,0.38425062744223154,0.3855027963571499,2024-03-14 19:08:07.608814,2024-03-14 19:08:10.831412,0 days 00:00:03.222598,friedman_mse,11,sqrt,900,5,4,200,0,COMPLETE
23,0.4428446790151413,0.34886393376455516,2024-03-14 19:08:10.833408,2024-03-14 19:08:44.422290,0 days 00:00:33.588882,friedman_mse,11,,900,5,4,220,0,COMPLETE
24,0.32237454188661563,0.4230136517515475,2024-03-14 19:08:44.423292,2024-03-14 19:08:47.582130,0 days 00:00:03.158838,friedman_mse,11,sqrt,100,3,8,260,0,COMPLETE
25,0.4370911866075963,0.35175058670205384,2024-03-14 19:08:47.584135,2024-03-14 19:08:50.629208,0 days 00:00:03.045073,squared_error,13,sqrt,600,1,10,160,0,COMPLETE
26,0.4421572348518713,0.3518372231202233,2024-03-14 19:08:50.631390,2024-03-14 20:19:10.943813,0 days 01:10:20.312423,absolute_error,13,,900,5,8,280,0,COMPLETE
27,0.45609922338431125,0.339525052831684,2024-03-14 20:19:10.944817,2024-03-14 20:19:39.446608,0 days 00:00:28.501791,squared_error,13,,300,1,10,160,0,COMPLETE
28,0.3169353580934122,0.43399168824758333,2024-03-14 20:19:39.447611,2024-03-14 20:23:14.569020,0 days 00:03:35.121409,absolute_error,9,sqrt,900,5,10,200,0,COMPLETE
29,0.3781586422516355,0.3882006689355568,2024-03-14 20:23:14.571027,2024-03-14 20:23:18.644328,0 days 00:00:04.073301,squared_error,15,sqrt,200,3,6,280,0,COMPLETE
30,0.42076854593115753,0.3650740569471035,2024-03-14 20:23:18.646320,2024-03-14 21:22:45.986443,0 days 00:59:27.340123,absolute_error,11,,900,3,10,240,0,COMPLETE
31,0.40847585987834767,0.3692629424097594,2024-03-14 21:22:45.987443,2024-03-14 21:23:16.068753,0 days 00:00:30.081310,squared_error,9,,300,1,8,200,0,COMPLETE
32,0.38391924483683904,0.38558989617123307,2024-03-14 21:23:16.069756,2024-03-14 21:23:23.206954,0 days 00:00:07.137198,squared_error,11,sqrt,600,5,4,300,0,COMPLETE
33,0.40852397554454656,0.3703588135471873,2024-03-14 21:23:23.207955,2024-03-14 21:23:26.626870,0 days 00:00:03.418915,squared_error,13,sqrt,500,5,8,180,0,COMPLETE
34,0.47096082710246473,0.32969684271976096,2024-03-14 21:23:26.627869,2024-03-14 21:23:32.237969,0 days 00:00:05.610100,friedman_mse,15,sqrt,800,1,2,240,0,COMPLETE
