number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
16,-0.056212445427919075,2024-03-19 21:49:38.517777,2024-03-19 21:50:39.191230,0 days 00:01:00.673453,1.008706738390807e-07,gbtree,0.7569158962127448,0.0003138290252388623,0.0011725770999061827,depthwise,3.153603586046788e-08,9,4,200,,,,,0.8358737545232523,COMPLETE
17,0.4578063872934556,2024-03-19 21:50:39.191230,2024-03-19 21:59:52.847827,0 days 00:09:13.656597,4.4709310903437314e-08,dart,0.9299617651888943,0.08048729333655714,1.943812160393533e-07,depthwise,8.102364018440188e-05,7,5,300,tree,7.107190775176751e-05,uniform,7.426181991465085e-06,0.42163465741895945,COMPLETE
18,0.20510668850731265,2024-03-19 21:59:52.848825,2024-03-19 22:06:39.340332,0 days 00:06:46.491507,0.000663687908710349,dart,0.7866541533876464,0.006342475198336352,1.7704802102969296e-07,depthwise,6.997091796506995e-05,5,7,260,tree,0.00010779904436270253,uniform,9.212567642850126e-06,0.3922590224260655,COMPLETE
19,0.4440900609843673,2024-03-19 22:06:39.341335,2024-03-19 22:10:38.440771,0 days 00:03:59.099436,7.401168650300974e-06,dart,0.9026809391794219,0.048256380335221984,3.1481931656979084e-06,depthwise,8.916196732470256e-07,9,5,180,tree,6.47048113928343e-06,uniform,2.3370010174757943e-05,0.45540225969354303,COMPLETE
20,-0.08922200563131191,2024-03-19 22:10:38.441772,2024-03-19 22:18:21.230708,0 days 00:07:42.788936,8.504505522937661e-08,dart,0.41997962835873104,6.015610013932609e-05,1.8349463747181577e-07,depthwise,9.791681123874449e-05,7,5,280,tree,0.0034124678561508067,uniform,5.046844100335709e-07,0.583813610700453,COMPLETE
21,-0.4992348919985212,2024-03-19 22:18:21.232377,2024-03-19 22:27:35.868518,0 days 00:09:14.636141,2.589024525320022e-08,dart,0.9953866664313562,0.9938131513294152,5.002678311727272e-08,depthwise,0.01744238410686886,7,2,300,tree,4.42703408599725e-06,uniform,0.00012415441268560088,0.6329527747798565,COMPLETE
22,0.4165125119663543,2024-03-19 22:27:35.869519,2024-03-19 22:35:43.233047,0 days 00:08:07.363528,6.097019628199737e-07,dart,0.926323639943048,0.20990817680391874,1.1029111047214614e-05,depthwise,6.048204885152715e-08,7,5,280,tree,0.0011168732794263787,weighted,7.10455800568739e-07,0.35848026786644904,COMPLETE
23,0.39892148270796024,2024-03-19 22:35:43.234271,2024-03-19 22:36:44.402007,0 days 00:01:01.167736,4.50380780811501e-08,gbtree,0.8264425560163979,0.02130888889296176,2.74394438930806e-07,depthwise,0.0001873435926403681,7,3,240,,,,,0.9053863560329798,COMPLETE
24,0.10951028997316989,2024-03-19 22:36:44.402993,2024-03-19 22:41:21.580847,0 days 00:04:37.177854,4.864999286342391e-07,dart,0.9393299363667358,0.0024636052836209117,0.11473387669260322,depthwise,4.414352197229413e-06,5,7,300,forest,0.5736908712978652,weighted,2.573297888711625e-08,0.7775168487112846,COMPLETE
25,0.45929479044717725,2024-03-19 22:41:21.581861,2024-03-19 22:49:20.835667,0 days 00:07:59.253806,3.1762717901815597e-06,dart,0.7049131758970069,0.1608308792185211,0.003758329817839006,depthwise,3.716840229116126e-05,7,4,280,tree,7.430666356549884e-07,uniform,0.00015455877885493842,0.5088755554793648,COMPLETE
