number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
35,0.4844607683822755,0.32422944823753425,2024-03-17 23:37:58.012310,2024-03-18 00:48:30.307282,0 days 01:10:32.294972,absolute_error,1200,3,4,280,0,COMPLETE
36,0.4422912203187286,0.3521723483555691,2024-03-18 00:48:30.308286,2024-03-18 01:58:56.152841,0 days 01:10:25.844555,absolute_error,1000,7,6,300,0,COMPLETE
37,0.5028843259266358,0.3119807245617138,2024-03-18 01:58:56.153843,2024-03-18 02:00:18.391875,0 days 00:01:22.238032,squared_error,2000,3,6,320,0,COMPLETE
38,0.4485435839198157,0.3465592742246512,2024-03-18 02:00:18.392877,2024-03-18 02:01:01.178287,0 days 00:00:42.785410,friedman_mse,600,9,20,220,0,COMPLETE
39,0.4660499080237396,0.33551939335503167,2024-03-18 02:01:01.179488,2024-03-18 02:01:49.371199,0 days 00:00:48.191711,squared_error,1000,7,14,240,0,COMPLETE
40,0.4805831658494547,0.3263779474138381,2024-03-18 02:01:49.371199,2024-03-18 02:02:56.692543,0 days 00:01:07.321344,friedman_mse,1000,5,12,320,0,COMPLETE
41,0.49427858770318667,0.3160431862989958,2024-03-18 02:02:56.692543,2024-03-18 02:03:54.995679,0 days 00:00:58.303136,squared_error,600,1,6,280,0,COMPLETE
42,0.46757153244954264,0.3344510984490979,2024-03-18 02:03:54.996077,2024-03-18 02:04:55.018956,0 days 00:01:00.022879,friedman_mse,800,3,20,300,0,COMPLETE
43,0.49687910055312506,0.31484653367882415,2024-03-18 02:04:55.019052,2024-03-18 03:21:53.852993,0 days 01:16:58.833941,absolute_error,1200,1,2,320,0,COMPLETE
44,0.42498475526235746,0.3631257048971429,2024-03-18 03:21:53.853997,2024-03-18 04:39:43.218883,0 days 01:17:49.364886,absolute_error,600,9,6,340,0,COMPLETE
45,0.45427244512974935,0.34304458414714506,2024-03-18 04:39:43.219886,2024-03-18 04:40:37.892472,0 days 00:00:54.672586,squared_error,1800,7,20,280,0,COMPLETE
46,0.44288655900133805,0.3517727557173044,2024-03-18 04:40:37.892472,2024-03-18 05:58:59.569455,0 days 01:18:21.676983,absolute_error,600,7,4,340,0,COMPLETE
47,0.4241384398714219,0.3637176279552428,2024-03-18 05:58:59.569455,2024-03-18 06:44:42.388778,0 days 00:45:42.819323,absolute_error,800,9,2,200,0,COMPLETE
48,0.4422912203187286,0.3521723483555691,2024-03-18 06:44:42.389781,2024-03-18 07:53:45.889835,0 days 01:09:03.500054,absolute_error,1600,7,10,300,0,COMPLETE
49,0.4882230409213847,0.3206745273626637,2024-03-18 07:53:45.890339,2024-03-18 07:55:05.800150,0 days 00:01:19.909811,friedman_mse,1600,1,14,340,0,COMPLETE
50,0.48085087587426995,0.3261911103921483,2024-03-18 07:55:05.800150,2024-03-18 07:56:04.095676,0 days 00:00:58.295526,friedman_mse,2000,5,12,260,1,COMPLETE
51,0.44999206111233764,0.3455367296021192,2024-03-18 07:56:04.095676,2024-03-18 07:57:03.802183,0 days 00:00:59.706507,squared_error,1000,9,2,320,1,COMPLETE
52,0.4417480111934021,0.35251673359243324,2024-03-18 07:57:03.802183,2024-03-18 08:43:11.447380,0 days 00:46:07.645197,absolute_error,1000,7,12,200,1,COMPLETE
53,0.46620268083619365,0.335491544887223,2024-03-18 08:43:11.448576,2024-03-18 08:43:56.831216,0 days 00:00:45.382640,squared_error,600,7,14,220,1,COMPLETE
54,0.47598053806289603,0.3292656626038791,2024-03-18 08:43:56.831216,2024-03-18 08:44:43.468143,0 days 00:00:46.636927,friedman_mse,600,5,14,220,1,COMPLETE
55,0.499493198743569,0.31393110290604176,2024-03-18 08:44:43.468143,2024-03-18 08:45:44.108986,0 days 00:01:00.640843,friedman_mse,800,3,4,260,1,COMPLETE
56,0.4912056199419796,0.3182317546827013,2024-03-18 08:45:44.110998,2024-03-18 08:46:53.215422,0 days 00:01:09.104424,friedman_mse,600,1,10,320,1,COMPLETE
57,0.5026039931188355,0.31211621725942107,2024-03-18 08:46:53.216423,2024-03-18 08:48:03.375564,0 days 00:01:10.159141,friedman_mse,1600,3,2,280,1,COMPLETE
58,0.4426399821430005,0.35196038407458347,2024-03-18 08:48:03.375564,2024-03-18 10:01:44.768096,0 days 01:13:41.392532,absolute_error,1600,7,12,320,1,COMPLETE
59,0.4708313178875332,0.33183029023435584,2024-03-18 10:01:44.768096,2024-03-18 10:02:41.491236,0 days 00:00:56.723140,squared_error,1000,1,20,280,1,COMPLETE
60,0.44856611012407477,0.346545493155055,2024-03-18 10:02:41.492239,2024-03-18 10:03:21.131820,0 days 00:00:39.639581,squared_error,2000,9,20,220,1,COMPLETE
61,0.46573622423270766,0.33570220003200535,2024-03-18 10:03:21.131820,2024-03-18 10:04:21.359361,0 days 00:01:00.227541,friedman_mse,1600,7,14,320,1,COMPLETE
62,0.4505341653936575,0.34519499580589297,2024-03-18 10:04:21.359361,2024-03-18 10:05:03.097456,0 days 00:00:41.738095,friedman_mse,600,9,6,240,1,COMPLETE
63,0.5024631196375964,0.3123192153810642,2024-03-18 10:05:03.097456,2024-03-18 10:05:54.761630,0 days 00:00:51.664174,friedman_mse,1400,3,6,220,1,COMPLETE
64,0.466094972927457,0.3354833972163537,2024-03-18 10:05:54.763636,2024-03-18 10:06:43.786137,0 days 00:00:49.022501,squared_error,1000,7,14,260,1,COMPLETE
65,0.4505341653936575,0.34519499580589297,2024-03-18 10:06:43.786137,2024-03-18 10:07:26.253193,0 days 00:00:42.467056,friedman_mse,1400,9,6,240,1,COMPLETE
66,0.4631249209849401,0.33863214821139487,2024-03-18 10:07:26.254209,2024-03-18 11:26:41.971823,0 days 01:19:15.717614,absolute_error,1200,5,4,320,1,COMPLETE
67,0.5083656422954683,0.30786568931851815,2024-03-18 11:26:41.972825,2024-03-18 11:28:00.491449,0 days 00:01:18.518624,squared_error,1800,1,6,320,1,COMPLETE
68,0.4671253881779818,0.3348983754251636,2024-03-18 11:28:00.492452,2024-03-18 11:28:49.863843,0 days 00:00:49.371391,squared_error,2000,5,18,260,1,COMPLETE
69,0.4839029420195649,0.3240467367476401,2024-03-18 11:28:49.865871,2024-03-18 11:29:38.316632,0 days 00:00:48.450761,friedman_mse,1400,3,14,240,1,COMPLETE
70,0.46757153244954264,0.3344510984490979,2024-03-18 11:29:38.316632,2024-03-18 11:30:34.535857,0 days 00:00:56.219225,friedman_mse,800,3,20,300,1,COMPLETE
71,0.4884424842781766,0.32016427665831415,2024-03-18 11:30:34.535857,2024-03-18 11:31:23.226509,0 days 00:00:48.690652,squared_error,600,1,12,240,1,COMPLETE
72,0.4506019855064066,0.3452768076996506,2024-03-18 11:31:23.227499,2024-03-18 11:31:58.587690,0 days 00:00:35.360191,squared_error,2000,9,6,200,1,COMPLETE
73,0.46616126745990727,0.33547352547803566,2024-03-18 11:31:58.587690,2024-03-18 11:33:05.962379,0 days 00:01:07.374689,squared_error,2000,7,8,360,1,COMPLETE
