number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,-0.09720143688264415,2024-03-19 13:05:00.687161,2024-03-19 13:05:14.164625,0 days 00:00:13.477464,0.884391820997658,gbtree,0.8274705826067179,1.7410437501641237e-07,1.0332023192485298e-08,lossguide,0.831005638003509,7,2,240,,,,,0.5479552219487949,COMPLETE
1,-0.09722379035165796,2024-03-19 13:05:14.165621,2024-03-19 13:05:19.969198,0 days 00:00:05.803577,0.018982439625423397,gbtree,0.30165300423014624,3.433211039342732e-08,0.0015982355342413594,depthwise,0.0036167140856654388,9,3,160,,,,,0.8842757918739361,COMPLETE
2,0.083678141620582,2024-03-19 13:05:19.970200,2024-03-19 13:06:09.709300,0 days 00:00:49.739100,1.6312454859668965e-08,dart,0.5462103883563493,0.001404774287812316,3.7441330787959444e-08,depthwise,1.2933750634612203e-05,11,5,200,forest,1.2951346364372359e-05,uniform,2.5564602260846867e-07,0.2112694760082274,COMPLETE
3,0.16270346574578926,2024-03-19 13:06:09.711303,2024-03-19 13:06:35.568821,0 days 00:00:25.857518,3.7295325714848485e-08,dart,0.5946694863521635,0.004805176393163505,1.0042072186226016e-08,depthwise,0.0113779762023287,5,9,160,forest,1.8144520843910903e-05,uniform,8.097690443671749e-07,0.778521624381699,COMPLETE
4,0.5144771982805143,2024-03-19 13:06:35.569811,2024-03-19 13:06:59.825806,0 days 00:00:24.255995,1.6609197543167756e-06,dart,0.48996678240849506,0.07172641810397055,0.6033339984283038,depthwise,0.00044688103812530293,9,6,140,tree,2.7465999227751213e-05,uniform,0.01106861628804095,0.6111988931036698,COMPLETE
5,0.30492467309545324,2024-03-19 13:06:59.828047,2024-03-19 13:07:48.041768,0 days 00:00:48.213721,0.057281523959418185,dart,0.7207073823997427,0.08527691353008618,0.6911967149226281,lossguide,0.00011280075298868978,5,9,260,forest,0.2897844247715742,weighted,2.9910340983654368e-06,0.7322017896271356,COMPLETE
6,0.466040728816178,2024-03-19 13:07:48.042770,2024-03-19 13:08:15.065116,0 days 00:00:27.022346,0.00018079355337239421,dart,0.9888160887865538,0.36538877847545503,0.0004041543527821255,lossguide,0.0002503997478959908,5,6,160,forest,0.0003618998373373352,weighted,2.0139613283566013e-06,0.7828225278767842,COMPLETE
7,-0.09716167151903084,2024-03-19 13:08:15.067763,2024-03-19 13:08:22.193491,0 days 00:00:07.125728,0.007959121001042313,gbtree,0.9737942829317188,7.067456431810996e-07,0.43970205813101554,depthwise,1.587639904942014e-05,11,5,100,,,,,0.25641300647576143,COMPLETE
8,-0.09262013673426876,2024-03-19 13:08:22.194491,2024-03-19 13:08:25.212651,0 days 00:00:03.018160,7.4112087023549e-08,gbtree,0.663936101354366,6.214692233521189e-05,1.1107600821537518e-08,depthwise,4.016134782792631e-08,3,8,200,,,,,0.8805857392188938,COMPLETE
9,-0.09721391006138122,2024-03-19 13:08:25.214656,2024-03-19 13:08:31.455689,0 days 00:00:06.241033,0.005882233734543851,gbtree,0.6460382994025158,1.37567641945112e-07,0.020015620741892684,depthwise,2.6401051894929895e-05,5,5,220,,,,,0.5487244509174953,COMPLETE
10,-0.09244590026127283,2024-03-19 13:08:31.456691,2024-03-19 13:10:04.765252,0 days 00:01:33.308561,2.690348697719824e-06,dart,0.35910145723589737,2.229322783071658e-05,3.355351343858616e-06,lossguide,1.1095641239450518e-07,9,7,300,tree,1.2599350034778683e-08,uniform,0.10197725530325422,0.3839076498869469,COMPLETE
11,0.23198592871735552,2024-03-19 13:10:04.767270,2024-03-19 13:10:21.540752,0 days 00:00:16.773482,5.731850849549299e-05,dart,0.44075448201119377,0.7443256138014772,5.2752454856383555e-05,lossguide,0.00151039112760547,7,6,120,tree,0.0031937729304013012,weighted,0.004834535344056686,0.6695285869846166,COMPLETE
12,0.492055302609302,2024-03-19 13:10:21.541754,2024-03-19 13:10:49.465959,0 days 00:00:27.924205,2.5691205689384618e-05,dart,0.9777227278773841,0.030107958253461287,0.008811910161164479,lossguide,0.08675548667571847,9,7,140,tree,0.0004961994449390785,weighted,0.00034655219843397403,0.9677659825559985,COMPLETE
13,0.39783129322364474,2024-03-19 13:10:49.466960,2024-03-19 13:11:08.490721,0 days 00:00:19.023761,2.04940883113737e-06,dart,0.4821707877710471,0.012887268641098173,0.024198936819398144,lossguide,0.22185459206075822,9,10,120,tree,7.144489578756893e-07,uniform,0.0007431482005968963,0.9925404478033004,COMPLETE
14,0.5022002986880862,2024-03-19 13:11:08.492715,2024-03-19 13:11:36.894032,0 days 00:00:28.401317,3.077460073181829e-06,dart,0.7434011086418728,0.039109128586223896,0.029249009811006563,depthwise,0.02376422973497501,9,7,140,tree,0.006311150686842488,weighted,0.496816715002605,0.4408993769842149,COMPLETE
15,-0.016104809060984458,2024-03-19 13:11:36.896028,2024-03-19 13:12:26.384088,0 days 00:00:49.488060,6.849592925621292e-07,dart,0.7945000275607845,0.0007375897788340967,0.11370258391583067,depthwise,1.2259199901435275e-06,11,4,180,tree,0.05725107545577819,weighted,0.5395406797148901,0.4445040995669738,COMPLETE
16,-0.08053325976608114,2024-03-19 13:12:26.386113,2024-03-19 13:12:38.188093,0 days 00:00:11.801980,0.0003087275047212458,dart,0.24446121294412676,0.0003175954332119487,0.13407715360027186,depthwise,0.02368031617526523,7,7,100,tree,0.008420238931332034,uniform,0.022809568343546555,0.43426183145220143,COMPLETE
17,-0.0962020658173897,2024-03-19 13:12:38.190818,2024-03-19 13:13:06.670478,0 days 00:00:28.479660,3.3637927587484947e-07,dart,0.8667054051151,8.8657487985494e-06,0.0025588651822952414,depthwise,0.0008760920571178528,9,8,140,tree,8.894089317719893e-07,weighted,0.47232531563597163,0.344124822110792,COMPLETE
18,0.5221358945998089,2024-03-19 13:13:06.672480,2024-03-19 13:13:50.125648,0 days 00:00:43.453168,9.060081743457951e-06,dart,0.42356896480293216,0.12575683416948483,3.102229817037945e-05,depthwise,0.025212861000565908,11,4,180,tree,0.006744367881043388,uniform,0.007921561983912079,0.613287978048465,COMPLETE
19,0.40298002181153914,2024-03-19 13:13:50.127656,2024-03-19 13:14:33.947163,0 days 00:00:43.819507,1.6867861548158468e-05,dart,0.40979780807460126,0.29718393438215446,1.342882772925391e-05,depthwise,2.6925991475399414e-06,11,3,180,tree,4.175972391360184e-05,uniform,1.2305118086494187e-08,0.6166036294172335,COMPLETE
20,0.36043072587203584,2024-03-19 13:14:33.949156,2024-03-19 13:16:05.967931,0 days 00:01:32.018775,0.0008667745149993061,dart,0.5031398869000164,0.0037833455346118496,4.147093458461251e-07,depthwise,0.00036690298243645804,11,4,260,tree,1.2684512737297961e-06,uniform,0.0032667391815970966,0.5550538634594719,COMPLETE
21,0.5165025032771509,2024-03-19 13:16:05.968932,2024-03-19 13:16:32.073241,0 days 00:00:26.104309,4.014018567163689e-06,dart,0.37747340895880377,0.06948611545960749,0.00017724871823533364,depthwise,0.017678397676827648,9,6,140,tree,0.006699236208877565,uniform,0.02537659453276356,0.4835100979678738,COMPLETE
