number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
33,0.3234417573123536,0.42933308306624934,2024-03-13 18:49:17.664325,2024-03-13 18:52:57.198316,0 days 00:03:39.533991,absolute_error,9,sqrt,600,3,8,200,0,COMPLETE
34,0.409644921604821,0.368845430891699,2024-03-13 18:52:57.199319,2024-03-13 18:53:23.551588,0 days 00:00:26.352269,squared_error,9,,800,3,2,200,0,COMPLETE
35,0.13360470234894478,0.5430858669720264,2024-03-13 18:53:23.553789,2024-03-13 18:53:24.293567,0 days 00:00:00.739778,friedman_mse,5,log2,400,3,4,100,0,COMPLETE
36,0.4085680555050081,0.3695588803392712,2024-03-13 18:53:24.293567,2024-03-13 18:53:50.473925,0 days 00:00:26.180358,squared_error,9,,400,3,8,200,0,COMPLETE
37,0.042231848541483964,0.6180056209461549,2024-03-13 18:53:50.474927,2024-03-13 18:56:31.030673,0 days 00:02:40.555746,absolute_error,3,sqrt,800,5,8,200,0,COMPLETE
38,0.1150924655116901,0.5693342466636495,2024-03-13 18:56:31.031675,2024-03-13 18:58:39.406616,0 days 00:02:08.374941,absolute_error,5,log2,100,5,2,200,0,COMPLETE
39,0.3154958858384494,0.43347136390078456,2024-03-13 18:58:39.406616,2024-03-13 19:35:23.229869,0 days 00:36:43.823253,absolute_error,7,,700,5,8,160,0,COMPLETE
40,0.06277583605588963,0.5877970766236916,2024-03-13 19:35:23.230638,2024-03-13 19:35:24.392161,0 days 00:00:01.161523,friedman_mse,3,sqrt,800,5,2,120,0,COMPLETE
41,0.25669146433682416,0.46745514467690885,2024-03-13 19:35:24.394569,2024-03-13 19:35:39.500313,0 days 00:00:15.105744,friedman_mse,5,,500,3,10,200,0,COMPLETE
42,0.3492086116817067,0.4072507482158951,2024-03-13 19:35:39.501316,2024-03-13 19:35:54.911184,0 days 00:00:15.409868,squared_error,7,,800,5,6,160,0,COMPLETE
43,0.014916572974682563,0.6361978001269464,2024-03-13 19:35:54.912186,2024-03-13 19:36:57.690331,0 days 00:01:02.778145,absolute_error,3,log2,600,3,4,120,0,COMPLETE
44,0.04279799266566238,0.6176164240607692,2024-03-13 19:36:57.692850,2024-03-13 19:39:04.990691,0 days 00:02:07.297841,absolute_error,3,sqrt,300,5,4,160,0,COMPLETE
45,0.13884336693125363,0.5396894697327053,2024-03-13 19:39:04.991695,2024-03-13 19:39:06.113614,0 days 00:00:01.121919,squared_error,5,log2,100,1,8,180,0,COMPLETE
46,0.13869737867423898,0.5397765511819876,2024-03-13 19:39:06.115608,2024-03-13 19:39:07.264015,0 days 00:00:01.148407,squared_error,5,log2,1000,1,4,180,0,COMPLETE
47,0.04024117524721158,0.6024044872873295,2024-03-13 19:39:07.265177,2024-03-13 19:39:08.184517,0 days 00:00:00.919340,friedman_mse,3,log2,100,3,10,200,0,COMPLETE
48,0.1780402757466565,0.5151166131573577,2024-03-13 19:39:08.185519,2024-03-13 19:39:09.559003,0 days 00:00:01.373484,squared_error,5,sqrt,300,1,8,160,0,COMPLETE
49,0.3116002294675019,0.42988925417628243,2024-03-13 19:39:09.560525,2024-03-13 19:39:10.893350,0 days 00:00:01.332825,friedman_mse,9,log2,300,1,2,120,0,COMPLETE
