number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
0,0.43662921790200004,0.3531347217954056,2024-03-11 14:18:32.843304,2024-03-11 14:36:55.048083,0 days 00:18:22.204779,2.0876738727179316e-07,dart,0.9435146019279936,0.07093981998001347,lossguide,1.3275665587450563e-05,9,9,160,tree,0.11443189476162484,uniform,0.010876913567509968,0.8321343112217487,0,COMPLETE
1,0.5044676209972639,0.3112686980909532,2024-03-11 14:36:55.049210,2024-03-11 14:47:13.110477,0 days 00:10:18.061267,6.5508303677064456e-06,gbtree,0.9392539945111682,3.0074861849607588e-05,depthwise,0.004809315011376878,9,3,300,,,,,0.28921801475200914,0,COMPLETE
2,0.5271166022643576,0.29685115744412904,2024-03-11 14:47:13.111030,2024-03-11 15:11:07.991841,0 days 00:23:54.880811,1.6610673437825126e-05,dart,0.24090531704464102,0.00010556330374274515,depthwise,0.0003968443782152096,9,6,260,tree,4.881919564495903e-08,weighted,5.43430170182349e-08,0.5556213818060095,0,COMPLETE
3,0.49864333937826133,0.31482124327191263,2024-03-11 15:11:07.991841,2024-03-11 15:41:21.492204,0 days 00:30:13.500363,1.5332157890678777e-05,dart,0.3404523456798775,0.9447538822700433,depthwise,0.0011198170142497263,7,5,300,forest,1.7169271154880993e-05,uniform,6.344053344885608e-06,0.39467590203711017,0,COMPLETE
4,0.5065881677249701,0.3100711980237421,2024-03-11 15:41:21.492204,2024-03-11 15:58:26.814489,0 days 00:17:05.322285,5.1851750721331215e-06,dart,0.2302118545458794,7.374401423957777e-07,lossguide,0.07469694061832155,7,9,220,tree,2.5861778519068834e-05,weighted,7.822734658335641e-07,0.631703286187305,0,COMPLETE
5,0.49770218437552904,0.31512441774445227,2024-03-11 15:58:26.815490,2024-03-11 16:03:23.634906,0 days 00:04:56.819416,0.0001638389553280548,dart,0.277386403799989,0.052838536554057604,depthwise,1.6303838441546622e-06,9,3,100,tree,0.00012622505875040547,weighted,2.090235359728369e-07,0.544588615761862,0,COMPLETE
6,0.5303494892085491,0.2955186319957185,2024-03-11 16:03:23.635909,2024-03-11 16:17:29.654502,0 days 00:14:06.018593,0.021837102998747134,gbtree,0.9607486983331543,9.10320010972039e-06,depthwise,3.9284090520092905e-05,7,10,280,,,,,0.7675452029700423,0,COMPLETE
7,0.5090410132795429,0.30787409351313527,2024-03-11 16:17:29.654502,2024-03-11 16:21:53.296641,0 days 00:04:23.642139,3.313353182281541e-05,gbtree,0.34161378189544,3.925164135771868e-06,depthwise,9.210297576489664e-08,9,5,300,,,,,0.33024769291314915,0,COMPLETE
8,0.5099170559866824,0.30760873590618815,2024-03-11 16:21:53.297585,2024-03-11 16:53:44.699931,0 days 00:31:51.402346,3.555516667687362e-05,dart,0.41981006138759097,0.0033664403146806375,lossguide,0.0010493444850269143,7,3,300,tree,0.0009524137421007315,weighted,8.466777617009704e-06,0.5090090443551143,0,COMPLETE
9,0.505234297392326,0.3103164092233268,2024-03-11 16:53:44.700952,2024-03-11 17:00:12.538719,0 days 00:06:27.837767,0.0026440465262435237,gbtree,0.6975640038668118,0.10767410164545316,depthwise,1.269918903795017e-05,7,6,220,,,,,0.4816049139212454,0,COMPLETE
10,0.4581150441637817,0.3393227596463844,2024-03-11 17:00:12.540344,2024-03-11 17:01:48.181078,0 days 00:01:35.640734,0.016125792044056984,gbtree,0.32060237869023295,0.013853101266313048,lossguide,2.0963720986270634e-05,7,2,140,,,,,0.33773186853834536,0,COMPLETE
11,0.2041163524177116,0.4983707544869098,2024-03-11 17:01:48.181078,2024-03-11 17:18:30.362253,0 days 00:16:42.181175,1.916108601382014e-06,dart,0.5480723204299105,5.1299298285430056e-08,lossguide,0.14121436441150081,5,8,300,tree,0.6695849248533146,uniform,0.031116973897158038,0.9701139427122338,0,COMPLETE
12,0.5266201474413347,0.2971994136903114,2024-03-11 17:18:30.363268,2024-03-11 17:30:17.646532,0 days 00:11:47.283264,7.55164164857951e-07,gbtree,0.9363369539544095,0.006501384303455497,lossguide,0.0642681843419081,7,8,240,,,,,0.7729713511081233,0,COMPLETE
13,0.511669635850617,0.30697780713654177,2024-03-11 17:30:17.647535,2024-03-11 17:40:17.243066,0 days 00:09:59.595531,0.013288708581420719,dart,0.8128067215626544,1.2403286885061658e-08,lossguide,2.0489034042589128e-07,9,9,120,tree,7.893435026683557e-08,uniform,4.661486566648614e-07,0.6042746448519412,0,COMPLETE
14,0.4794996123255915,0.327163978897863,2024-03-11 17:40:17.244068,2024-03-11 18:08:20.005226,0 days 00:28:02.761158,0.0026658626687707967,dart,0.6203149896384537,1.1581696190978305e-08,depthwise,0.6420769679644802,5,8,280,forest,0.006769964522705376,uniform,1.8251982369509007e-05,0.5525237716138536,0,COMPLETE
15,0.43479612237351456,0.354710515579363,2024-03-11 18:08:20.006229,2024-03-11 18:13:22.612505,0 days 00:05:02.606276,0.3602104374666027,gbtree,0.990069043479646,4.574213520672419e-05,lossguide,0.01274988511254519,5,6,120,,,,,0.9924607375083299,0,COMPLETE
16,0.37829015758869045,0.3893590709031244,2024-03-11 18:13:22.613508,2024-03-11 18:17:33.109171,0 days 00:04:10.495663,0.0024323717803334225,dart,0.5278504909458395,1.5074674457600583e-05,lossguide,6.199462289178111e-05,5,6,100,forest,0.00632036739436533,uniform,0.22366320040337048,0.29018100449804013,0,COMPLETE
17,0.3932160209208549,0.38117150649005105,2024-03-11 18:17:33.110174,2024-03-11 18:22:15.271385,0 days 00:04:42.161211,0.36275559088861037,dart,0.4812020236295613,1.0772164150626058e-07,lossguide,8.001334667916408e-07,5,7,100,tree,0.01990217079354501,weighted,0.01685071325989128,0.6315994200663769,0,COMPLETE
18,0.43457705225777615,0.3551704525145868,2024-03-11 18:22:15.273390,2024-03-11 18:23:26.239954,0 days 00:01:10.966564,0.10428168778695607,gbtree,0.20814546946642018,0.00010734997923974667,lossguide,1.4160196460373968e-07,5,10,160,,,,,0.5178157850623397,0,COMPLETE
19,0.4690861199389709,0.3332071438370643,2024-03-11 18:23:26.240957,2024-03-11 18:42:53.324806,0 days 00:19:27.083849,0.006607552340811604,dart,0.33686428643750355,8.408207273659333e-07,lossguide,0.04597028480474675,9,10,240,tree,1.7863592362494542e-08,uniform,9.273743555307823e-07,0.20695975139768033,0,COMPLETE
20,0.48779621836488846,0.32196181889346664,2024-03-11 18:42:53.325793,2024-03-11 18:54:52.585838,0 days 00:11:59.260045,0.19591180480768616,dart,0.22239988363949337,0.004825654504187397,depthwise,1.422079924798816e-05,7,6,180,tree,0.027417095282588063,uniform,6.173918649820295e-06,0.9859198593659368,0,COMPLETE
21,0.4926487047967708,0.3191578565337352,2024-03-11 18:54:52.586841,2024-03-11 18:58:57.107677,0 days 00:04:04.520836,0.0010882705819280057,gbtree,0.31494081192636375,3.633591931915733e-08,lossguide,5.243992319329606e-08,5,3,300,,,,,0.9142604831966517,0,COMPLETE
22,0.43118635635007685,0.3562045995710717,2024-03-11 18:58:57.108681,2024-03-11 19:08:43.141837,0 days 00:09:46.033156,0.08730657426663001,dart,0.6133110637362074,0.18766811986206183,lossguide,4.105430308941779e-06,7,4,160,forest,0.023131041578906962,weighted,0.03169192228307625,0.2077865942394208,0,COMPLETE
23,0.43222002101647305,0.35656439648668503,2024-03-11 19:08:43.143098,2024-03-11 19:15:15.207994,0 days 00:06:32.064896,2.0964853813801386e-06,dart,0.4774580855406738,4.06458114906151e-08,lossguide,0.7342263186717339,5,9,120,tree,0.0001692859439681688,uniform,1.170288084268358e-08,0.7970185889332579,0,COMPLETE
24,0.48695220145867246,0.3222346647737465,2024-03-11 19:15:15.208996,2024-03-11 19:25:02.948663,0 days 00:09:47.739667,2.2092159392549446e-07,dart,0.2915212446824138,2.310708578831995e-06,depthwise,0.0025075888202875023,7,2,160,forest,3.1887354826254194e-07,uniform,0.0022994521505138718,0.4756822698857519,0,COMPLETE
25,0.41439896068360776,0.3663651703361991,2024-03-11 19:25:02.949668,2024-03-11 19:27:28.940726,0 days 00:02:25.991058,4.956576299792595e-06,gbtree,0.8219906594583548,0.00034979553086587006,depthwise,8.290049929887127e-05,5,5,160,,,,,0.25316419641075766,0,COMPLETE
26,0.5396508988366092,0.28911804756143844,2024-03-11 19:27:28.941729,2024-03-11 20:01:18.487878,0 days 00:33:49.546149,4.040391386445593e-05,dart,0.648064512219035,0.0009763486906128215,depthwise,3.405102039996652e-05,9,4,260,forest,0.0034599291068901934,weighted,0.00963397408174561,0.8966075451246887,0,COMPLETE
27,0.5252420884662595,0.2983579452305662,2024-03-11 20:01:18.488880,2024-03-11 20:08:16.979175,0 days 00:06:58.490295,7.579501175257376e-07,gbtree,0.6896476563701499,4.911319423658222e-07,lossguide,0.03777763711879384,9,8,180,,,,,0.6159971499535597,0,COMPLETE
28,0.47874354109077666,0.3266897414295048,2024-03-11 20:08:16.980178,2024-03-11 20:10:27.864643,0 days 00:02:10.884465,1.1856882413445347e-05,gbtree,0.3765149511798092,0.6445168626409739,depthwise,2.189779571373446e-06,7,10,180,,,,,0.373967964138183,0,COMPLETE
29,0.487767059254978,0.3211846402179644,2024-03-11 20:10:27.865646,2024-03-11 20:19:23.362007,0 days 00:08:55.496361,0.00022087910129967709,gbtree,0.9459094952230074,3.7358068296389525e-07,depthwise,4.707817379324088e-05,5,4,280,,,,,0.7482120819525329,0,COMPLETE
30,0.4132731405381779,0.3672433616625976,2024-03-11 20:19:23.363009,2024-03-11 20:21:28.478956,0 days 00:02:05.115947,4.670258187927946e-08,gbtree,0.8848281414649846,4.3031163018810286e-07,depthwise,4.289615717565268e-08,7,4,100,,,,,0.21443173746283872,0,COMPLETE
31,0.47964130424820217,0.32670629541896284,2024-03-11 20:21:28.479959,2024-03-11 20:25:59.666867,0 days 00:04:31.186908,0.00027636844370697625,gbtree,0.5064059454045065,0.013775892716315474,depthwise,0.0008710983122123866,5,3,260,,,,,0.5923507233558976,0,COMPLETE
32,0.524334147411183,0.29974052814358704,2024-03-11 20:25:59.667870,2024-03-11 20:32:51.344154,0 days 00:06:51.676284,3.2970838250088995e-05,gbtree,0.8633439243114638,2.426139303023082e-07,lossguide,0.4839373109876091,9,4,100,,,,,0.9403462567708027,0,COMPLETE
33,0.4995880303870825,0.31456808269360004,2024-03-11 20:32:51.345156,2024-03-11 20:37:43.876623,0 days 00:04:52.531467,0.03611915309468042,gbtree,0.4818311611228023,0.00013384027131861084,depthwise,2.396459341698366e-07,7,9,240,,,,,0.46650389081001986,0,COMPLETE
34,0.5116764855643812,0.30722030947491424,2024-03-11 20:37:43.876623,2024-03-11 20:45:22.202683,0 days 00:07:38.326060,0.3023406710620381,dart,0.8375369657776002,0.26827986487621025,depthwise,0.757501794594445,9,7,100,forest,1.6500625715540261e-07,weighted,0.0001875562743657383,0.6630522835368251,0,COMPLETE
35,0.4824769523454,0.3252355360219096,2024-03-11 20:45:22.202683,2024-03-11 20:47:11.738946,0 days 00:01:49.536263,7.770203488448714e-07,gbtree,0.3639022134136467,0.001487788105616849,depthwise,0.0009360327968988518,7,4,100,,,,,0.7802422518510046,0,COMPLETE
36,0.4905168109148782,0.3197251285783313,2024-03-11 20:47:11.740011,2024-03-11 20:52:19.840367,0 days 00:05:08.100356,3.921198291544099e-05,gbtree,0.9190918642920021,2.2987409183257584e-08,lossguide,0.00029451288684716605,9,5,160,,,,,0.3312861467657542,0,COMPLETE
37,0.5256628527097422,0.29759232024022947,2024-03-11 20:52:19.841369,2024-03-11 21:04:44.547184,0 days 00:12:24.705815,0.0735004196482481,dart,0.25169287531240647,5.683446839917122e-05,lossguide,3.796740299832437e-05,9,4,180,forest,2.998708249980625e-06,uniform,0.0005272634422488309,0.7461054134692744,0,COMPLETE
38,0.506628812029031,0.3099664787201379,2024-03-11 21:04:44.548199,2024-03-11 21:10:34.051180,0 days 00:05:49.502981,0.011507474974838899,gbtree,0.8226013209833567,0.0006457965973251777,lossguide,8.025915361582188e-07,7,3,180,,,,,0.5403601517771888,0,COMPLETE
39,0.5248081534904656,0.2985311841643185,2024-03-11 21:10:34.052182,2024-03-11 21:19:03.185724,0 days 00:08:29.133542,1.095699390300463e-08,gbtree,0.9092932344170088,0.01625171611886632,lossguide,0.0017090455289884903,9,10,160,,,,,0.6555269787703845,0,COMPLETE
40,0.4865377336953068,0.3226407629630326,2024-03-11 21:19:03.186725,2024-03-11 21:24:36.254592,0 days 00:05:33.067867,0.22993409570810275,gbtree,0.9850287752323339,0.09041511818520932,lossguide,0.558962485454617,7,2,180,,,,,0.3115960114111636,0,COMPLETE
41,0.5285973311849841,0.2964448577792719,2024-03-11 21:24:36.254592,2024-03-11 21:34:56.701523,0 days 00:10:20.446931,0.07311289286520427,gbtree,0.9676117477657191,0.006426505907216915,depthwise,1.1529479502477684e-05,9,3,160,,,,,0.6523164175557593,0,COMPLETE
42,0.4250813043855396,0.36050269394296797,2024-03-11 21:34:56.702526,2024-03-11 21:38:06.167829,0 days 00:03:09.465303,1.3811512519488273e-08,gbtree,0.8448933912446146,2.5372385385897647e-05,depthwise,0.0017660189553824232,5,7,140,,,,,0.40424562191782604,0,COMPLETE
43,0.45907649136007417,0.3390554514207623,2024-03-11 21:38:06.167829,2024-03-11 22:00:20.963855,0 days 00:22:14.796026,0.056183697803396604,dart,0.8704848555893034,7.174568883426185e-05,depthwise,0.0026128990200569627,5,3,240,forest,1.5061113335357236e-06,uniform,4.790772418030885e-08,0.3905550304210625,0,COMPLETE
44,0.4299929500974087,0.3566004821992104,2024-03-11 22:00:20.964857,2024-03-11 22:18:21.289519,0 days 00:18:00.324662,0.0007628393763153062,dart,0.7427159411686781,1.532625752568607e-05,depthwise,1.0698778548175923e-05,5,2,220,tree,2.809915776119565e-07,weighted,0.0010296831393364354,0.2632176718936279,0,COMPLETE
45,0.5386496535481713,0.29019810390688183,2024-03-11 22:18:21.290520,2024-03-11 22:31:34.240185,0 days 00:13:12.949665,1.4654813555385065e-06,gbtree,0.6370653413413178,2.661828686734464e-07,lossguide,0.00010510032360851155,9,5,280,,,,,0.8395706798065243,0,COMPLETE
46,0.5374138607343785,0.29160316497782246,2024-03-11 22:31:34.241188,2024-03-11 22:42:49.434368,0 days 00:11:15.193180,0.07055966659240846,gbtree,0.7917784932235965,0.37058191341948776,depthwise,0.0047407914923993655,9,5,180,,,,,0.9556458670222117,0,COMPLETE
47,0.5298508716606533,0.2957507273750597,2024-03-11 22:42:49.435371,2024-03-11 22:53:09.454091,0 days 00:10:20.018720,0.34517124959443424,gbtree,0.9050196769747991,0.05945203794924871,lossguide,1.0461139382413098e-05,9,2,160,,,,,0.7341148565117932,0,COMPLETE
48,0.4178754292488035,0.36555508218080834,2024-03-11 22:53:09.455094,2024-03-11 23:09:01.200674,0 days 00:15:51.745580,7.762232994043425e-08,dart,0.2702981939776698,2.1724535808841692e-08,depthwise,2.5428259642190104e-05,7,5,220,tree,0.024878195409772222,weighted,0.02574717428309209,0.20558687670576684,0,COMPLETE
49,0.5293228193858525,0.29601688422743233,2024-03-11 23:09:01.202677,2024-03-11 23:14:32.617470,0 days 00:05:31.414793,0.0010411779829302792,gbtree,0.3583401192634725,0.017430551715088057,lossguide,0.7015889122147252,7,5,280,,,,,0.7414979127026875,0,COMPLETE
