number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
20,0.46841002522080366,2024-03-20 14:06:56.580943,2024-03-20 14:14:20.571156,0 days 00:07:23.990213,0.0014133918601736241,dart,0.28940854856353526,4.6297699837606044e-07,lossguide,3.197239525282935e-07,11,7,280,tree,1.3712900629991005e-07,weighted,3.4586977999972726e-07,0.4117612616080277,COMPLETE
21,0.4964518605805305,2024-03-20 14:14:20.571156,2024-03-20 14:28:54.281528,0 days 00:14:33.710372,0.9669414243902318,dart,0.20354278315605706,1.7898057904356043e-06,lossguide,0.02748653516755051,11,7,400,tree,9.934258972203006e-06,uniform,0.008706092398597468,0.6935726499922606,COMPLETE
22,0.5015485531498266,2024-03-20 14:28:54.281528,2024-03-20 14:41:39.761005,0 days 00:12:45.479477,0.24293062816790606,dart,0.26292477024222954,6.728350383394803e-08,lossguide,0.004539074712269731,11,8,380,tree,4.910746585152419e-06,uniform,6.313665321573106e-05,0.8956363935303702,COMPLETE
23,0.5040619630594334,2024-03-20 14:41:39.762514,2024-03-20 14:55:05.161047,0 days 00:13:25.398533,0.12490603626611475,dart,0.3820966632736338,4.6473930944019167e-08,lossguide,0.0031620042303923753,11,8,380,tree,0.0001612331235139795,uniform,2.7959755539243383e-05,0.8860290892182785,COMPLETE
24,0.508578859470335,2024-03-20 14:55:05.162572,2024-03-20 15:08:43.531934,0 days 00:13:38.369362,0.0070979823575676665,dart,0.3918789800913194,4.928881232661931e-08,lossguide,0.12243864076679561,13,6,380,tree,0.0015542627733974648,uniform,1.0518222544859829e-05,0.8625284964633548,COMPLETE
25,0.5045893140260658,2024-03-20 15:08:43.533137,2024-03-20 15:22:05.575782,0 days 00:13:22.042645,0.11651311962210195,dart,0.38800749640137344,1.038056539819177e-08,lossguide,0.11907172992462559,11,6,380,forest,0.0009967410670429116,uniform,1.0241975539929236e-05,0.864685163992236,COMPLETE
26,0.5155723020019025,2024-03-20 15:22:05.576750,2024-03-20 15:35:07.962244,0 days 00:13:02.385494,0.0097061018253097,dart,0.5633170281527051,1.2301721786563256e-08,lossguide,0.20620068304754682,13,6,360,forest,0.006366143953372071,uniform,3.006991181613998e-05,0.8776207331421965,COMPLETE
27,0.5135072472260787,2024-03-20 15:35:07.965181,2024-03-20 15:47:56.351275,0 days 00:12:48.386094,0.007395932235345428,dart,0.5585720305581642,1.088591727877734e-08,lossguide,0.16121612196739352,13,6,360,forest,0.0062372894386792666,uniform,0.00029862379647578564,0.7656606834043428,COMPLETE
28,0.495178535278111,2024-03-20 15:47:56.351275,2024-03-20 16:00:09.192038,0 days 00:12:12.840763,0.009443527784064534,dart,0.6675262338097021,7.212689497008072e-08,lossguide,0.8012776251053276,13,6,360,forest,0.10465512815724197,uniform,0.00031150591534568977,0.7778292842644029,COMPLETE
29,0.5007645991740064,2024-03-20 16:00:09.192038,2024-03-20 16:11:57.807381,0 days 00:11:48.615343,0.0003351597539676875,dart,0.7681662946408269,2.4757756346763083e-08,lossguide,0.13788078567309167,13,14,340,forest,0.013607438409372086,uniform,0.011428106294548525,0.6436490603015002,COMPLETE
30,0.3955433899025102,2024-03-20 16:11:57.808382,2024-03-20 16:18:02.994249,0 days 00:06:05.185867,4.62941938643959e-05,dart,0.5711909680225014,2.0973408299130502e-07,lossguide,0.30314693244987256,13,6,320,forest,0.5262532532172643,uniform,0.0018226028819786867,0.7531257608628957,COMPLETE
31,0.5085930866831909,2024-03-20 16:18:02.996634,2024-03-20 16:31:41.424059,0 days 00:13:38.427425,0.02779609570191155,dart,0.5364789501263444,1.4399073719866527e-08,lossguide,0.09076542633372761,13,6,380,forest,0.001921061048954845,uniform,1.0278088351653705e-05,0.8593159194649872,COMPLETE
32,0.5148732178360517,2024-03-20 16:31:41.425062,2024-03-20 16:44:45.574263,0 days 00:13:04.149201,0.006919378267597359,dart,0.5647674818602962,8.734374900680494e-08,lossguide,0.057690483695452405,13,6,360,forest,0.003711560198600606,uniform,8.69402722254123e-05,0.8115665582122311,COMPLETE
33,0.5134391632313011,2024-03-20 16:44:45.575770,2024-03-20 16:58:00.915343,0 days 00:13:15.339573,0.02103204791472417,dart,0.5588719141225088,1.3189382387360888e-08,lossguide,0.04903539476301828,13,6,360,forest,0.006712849425351128,uniform,9.076902713639946e-05,0.8108266913826833,COMPLETE
34,0.5152385970466244,2024-03-20 16:58:00.915343,2024-03-20 17:11:24.859447,0 days 00:13:23.944104,0.002761418470392445,dart,0.7189509689513325,1.069524889700924e-07,lossguide,0.055253673433709724,13,6,360,forest,0.00831552147142673,uniform,0.0001090609698632514,0.795608264355469,COMPLETE
35,0.48029583845966456,2024-03-20 17:11:24.859447,2024-03-20 17:21:47.017834,0 days 00:10:22.158387,0.0020892323941108086,dart,0.74509353127443,1.231441560272978e-07,lossguide,0.437826112909483,13,11,340,forest,0.12819715198913698,uniform,0.00017860591012887044,0.9323269617097607,COMPLETE
36,0.5038509035770813,2024-03-20 17:21:47.019843,2024-03-20 17:33:47.014077,0 days 00:11:59.994234,0.0037912170314996353,dart,0.8494927269714496,0.5721722593287426,lossguide,0.0020444640605361175,13,7,340,forest,0.005531858288745376,uniform,0.03662682564246522,0.8000961253741872,COMPLETE
37,0.5053882851484122,2024-03-20 17:33:47.014077,2024-03-20 17:46:28.196274,0 days 00:12:41.182197,0.00011216714639724044,dart,0.6672273369416318,6.432235561297199e-07,lossguide,0.007502121608415775,13,7,360,forest,0.03012396847441798,uniform,0.0013215183910415523,0.5896671562524503,COMPLETE
38,0.5067257013383741,2024-03-20 17:46:28.196274,2024-03-20 17:48:13.395834,0 days 00:01:45.199560,0.0051480161341319434,gbtree,0.6218589130093479,0.006068848990673974,lossguide,0.3847150895175214,13,6,320,,,,,0.7404353168455313,COMPLETE
39,0.4774116463697899,2024-03-20 17:48:13.395834,2024-03-20 17:49:30.067219,0 days 00:01:16.671385,0.00037908047811924543,gbtree,0.7311780967207213,1.082500358687073e-07,lossguide,0.00022950955840300382,7,9,360,,,,,0.9486480372060881,COMPLETE
40,0.46632867173271464,2024-03-20 17:49:30.067219,2024-03-20 18:00:23.703359,0 days 00:10:53.636140,0.0018260792159584477,dart,0.8454216531395335,7.830476298710168e-07,lossguide,0.059102915342846424,9,11,340,forest,0.06703330791386815,uniform,0.1504910813852526,0.6412074835623256,COMPLETE
41,0.5142012435909247,2024-03-20 18:00:23.703359,2024-03-20 18:12:27.155256,0 days 00:12:03.451897,0.020781972847829823,dart,0.552859993759572,2.4687366154284092e-08,lossguide,0.05175755591056776,13,6,360,forest,0.008291118218027539,uniform,6.0956278462123494e-05,0.784961758090166,COMPLETE
42,0.5134642135739604,2024-03-20 18:12:27.156258,2024-03-20 18:24:59.279481,0 days 00:12:32.123223,0.01330138964774092,dart,0.6566551740230852,2.8073999285990838e-08,lossguide,0.008161296672300915,13,6,360,forest,0.004902092012743589,uniform,0.00011755084275737083,0.8139331749343538,COMPLETE
43,0.5105328170979748,2024-03-20 18:24:59.279481,2024-03-20 18:33:45.983759,0 days 00:08:46.704278,0.049023352360856066,dart,0.4588081509962958,1.4081082306762938e-07,lossguide,3.484424831386753e-05,13,7,300,forest,0.01485103084452435,uniform,5.244399945560553e-05,0.7745670573823639,COMPLETE
44,0.5124996299752622,2024-03-20 18:33:45.983759,2024-03-20 18:48:03.360021,0 days 00:14:17.376262,0.0007578630374206481,dart,0.5855381841116533,2.9073359256127395e-08,depthwise,0.8695998297909397,13,6,380,forest,0.0003382137714162767,uniform,0.0007155762459181793,0.9195698196080176,COMPLETE
45,0.5020987704174216,2024-03-20 18:48:03.360021,2024-03-20 18:49:24.340140,0 days 00:01:20.980119,0.006607823663154126,gbtree,0.6995801361474853,5.57289509377277e-08,lossguide,0.0014847317558011248,13,7,220,,,,,0.8304273482541209,COMPLETE
46,0.3584191006893372,2024-03-20 18:49:24.340140,2024-03-20 18:53:14.244005,0 days 00:03:49.903865,0.0027094504510531635,dart,0.5510007225316603,1.9685168144829856e-05,depthwise,0.06237562010684044,13,8,340,forest,0.8046449976276816,uniform,1.220974971203641e-07,0.7337460883817699,COMPLETE
47,0.5084231996849515,2024-03-20 18:53:14.246011,2024-03-20 19:03:14.932405,0 days 00:10:00.686394,0.015597027571235893,dart,0.627935119828012,4.190599706586755e-07,lossguide,0.0158232893151362,13,6,320,forest,7.586444433007624e-05,uniform,2.1095131222916024e-06,0.7812738253119833,COMPLETE
48,0.5098269302586859,2024-03-20 19:03:14.932405,2024-03-20 19:04:50.171438,0 days 00:01:35.239033,0.0011272721079432146,gbtree,0.49483419011415886,2.0754355785657406e-08,lossguide,0.24245183479903226,13,7,360,,,,,0.9707821258582195,COMPLETE
49,0.5201168701597527,2024-03-20 19:04:50.171438,2024-03-20 19:16:51.251468,0 days 00:12:01.080030,0.038700386395633085,dart,0.9482076635074155,1.6795321711348766e-07,depthwise,0.000544190124273195,13,6,340,forest,0.02706131130339571,uniform,2.997948156048729e-05,0.8445767191651747,COMPLETE
50,0.5001363266294585,2024-03-20 19:16:51.253487,2024-03-20 19:26:09.765403,0 days 00:09:18.511916,0.042083263993585036,dart,0.9384558348267595,8.490057948408088e-07,depthwise,0.003973363754713533,11,8,300,forest,0.034680417351239334,uniform,3.9297084868685186e-05,0.9985731351094193,COMPLETE
51,0.5134698200006768,2024-03-20 19:26:09.766402,2024-03-20 19:38:31.735032,0 days 00:12:21.968630,0.010173486613717614,dart,0.8908993490688024,1.2781522779305023e-07,depthwise,0.03910382576220714,13,6,340,forest,0.0038609714219666426,uniform,0.00015771987972324004,0.8490089583664338,COMPLETE
52,0.4430673679059881,2024-03-20 19:38:31.735032,2024-03-20 19:50:30.563339,0 days 00:11:58.828307,0.003788329085251606,dart,0.7964738135540275,3.4620287159953765e-08,depthwise,0.0006363122362953239,13,6,360,forest,0.0005167168793445854,uniform,2.6239447682927737e-05,0.2062107500805198,COMPLETE
53,0.5208898006696993,2024-03-20 19:50:30.565346,2024-03-20 20:05:55.381451,0 days 00:15:24.816105,0.07372777122452552,dart,0.5187836366526184,2.7301395262410295e-07,depthwise,1.387364968084528e-05,13,7,380,forest,0.01834439089129124,uniform,4.2669208428076025e-06,0.9172254832928297,COMPLETE
54,0.4461413282293667,2024-03-20 20:05:55.382453,2024-03-20 20:18:19.578805,0 days 00:12:24.196352,0.4938562597686808,dart,0.46829359089680633,2.40098405107729e-07,depthwise,3.31459937983924e-05,13,7,400,forest,0.2624525744650468,uniform,4.522649766589704e-06,0.9234776674715843,COMPLETE
55,0.519869827767381,2024-03-20 20:18:19.579804,2024-03-20 20:33:16.331519,0 days 00:14:56.751715,0.12049837184778805,dart,0.5313199198992854,4.673448321888293e-06,depthwise,7.5895204494217494e-06,13,7,380,forest,0.015788203240243673,uniform,2.16482956640695e-05,0.8907039597330059,COMPLETE
56,0.515886312796295,2024-03-20 20:33:16.332535,2024-03-20 20:47:50.145796,0 days 00:14:33.813261,0.1102512876550954,dart,0.6121331097750264,1.1683526761911114e-06,depthwise,7.3823651409871805e-06,13,7,380,forest,0.047010115870545675,uniform,1.4658539954707842e-05,0.8917935576511485,COMPLETE
57,0.5081129858850418,2024-03-20 20:47:50.146799,2024-03-20 21:01:37.096818,0 days 00:13:46.950019,0.2547277534806693,dart,0.6047283481162012,5.232420593781018e-05,depthwise,5.745674073910099e-06,11,7,380,forest,0.04488338056369361,uniform,2.346256500149085e-06,0.9698499265687623,COMPLETE
58,0.45607100416384105,2024-03-20 21:01:37.097836,2024-03-20 21:15:03.985111,0 days 00:13:26.887275,0.08770549749718244,dart,0.5278336367135831,7.178251818575337e-06,depthwise,7.135837579343696e-06,13,8,400,forest,0.21469011840450702,uniform,1.5050287597297068e-05,0.8885941953198233,COMPLETE
59,0.49480638799010485,2024-03-20 21:15:03.986119,2024-03-20 21:17:02.043357,0 days 00:01:58.057238,0.17160510722385117,gbtree,0.9562885807698595,2.7258688784347676e-06,depthwise,3.1888012907294513e-06,9,9,380,,,,,0.905536049666498,COMPLETE
60,0.5143918510092075,2024-03-20 21:17:02.045385,2024-03-20 21:32:47.885686,0 days 00:15:45.840301,1.1279021284593716e-08,dart,0.42464220197195934,1.164544179599278e-06,depthwise,4.0451021183956104e-07,13,8,400,forest,0.017592723958938003,weighted,5.33085114757836e-06,0.8734644632139498,COMPLETE
61,0.5214880929657082,2024-03-20 21:32:47.886688,2024-03-20 21:47:15.952808,0 days 00:14:28.066120,0.03921879045970596,dart,0.48295285790665515,5.2600213117706386e-06,depthwise,1.860019317373179e-05,13,7,380,forest,0.022435092678826134,uniform,7.11966678454225e-07,0.9506602031050818,COMPLETE
62,0.5073782486988769,2024-03-20 21:47:15.954319,2024-03-20 22:01:17.702683,0 days 00:14:01.748364,0.3638787073214027,dart,0.48929255456219367,5.536005784544424e-06,depthwise,1.6083602719048327e-05,13,7,380,forest,0.06893386250920701,uniform,4.572168096082869e-07,0.9600521304276043,COMPLETE
63,0.5104429430917561,2024-03-20 22:01:17.704688,2024-03-20 22:16:00.697744,0 days 00:14:42.993056,0.0700924023475527,dart,0.6406246253754218,1.5098747409700404e-05,depthwise,1.7908992343470795e-05,13,13,380,forest,0.02096802994942689,uniform,1.6115397462444034e-07,0.9343284465148326,COMPLETE
64,0.4522866130294636,2024-03-20 22:16:00.699163,2024-03-20 22:29:14.411168,0 days 00:13:13.712005,0.028753948639976025,dart,0.5109648385702814,0.00019093414925172328,depthwise,0.00019711541376773732,13,7,400,forest,0.23713656764445648,uniform,1.062788818665422e-06,0.8476449887693509,COMPLETE
65,0.5231680125078414,2024-03-20 22:29:14.412169,2024-03-20 22:44:33.027562,0 days 00:15:18.615393,0.7649479542383486,dart,0.7077241744041765,3.101360545116887e-06,depthwise,9.967083865273363e-07,13,7,380,forest,0.0024379072904767815,uniform,1.954766572348087e-05,0.9062406947874013,COMPLETE
66,0.5095628148840239,2024-03-20 22:44:33.028562,2024-03-20 22:58:38.646068,0 days 00:14:05.617506,0.7966706390464545,dart,0.3444682174837743,2.539103000033482e-06,depthwise,1.8052858477971864e-07,11,8,380,forest,0.0024860987225619807,uniform,2.9738645335673897e-06,0.9110421617259932,COMPLETE
67,0.5091567646072306,2024-03-20 22:58:38.647071,2024-03-20 23:14:52.920267,0 days 00:16:14.273196,0.1708646589485521,dart,0.4408297825739498,1.3751236071377173e-05,depthwise,1.2805578958741445e-06,13,7,400,forest,0.0008606419634823404,weighted,1.786595965495325e-05,0.9770759668081379,COMPLETE
68,0.5008028235094929,2024-03-20 23:14:52.921267,2024-03-20 23:29:11.433795,0 days 00:14:18.512528,0.44679688120366273,dart,0.5898136787190118,3.353436039258319e-06,depthwise,2.804843421340153e-06,13,8,380,forest,0.044205454782819946,uniform,7.107201382373999e-06,0.5486298726943664,COMPLETE
69,0.4767863142642412,2024-03-20 23:29:11.434782,2024-03-20 23:43:23.579332,0 days 00:14:12.144550,0.09177195652010313,dart,0.47701592779839036,4.2697118590200195e-05,depthwise,6.375033528836857e-05,11,7,400,forest,0.11576926315400185,uniform,1.334701790216819e-06,0.876370741333808,COMPLETE
70,0.5183253087846786,2024-03-20 23:43:23.580840,2024-03-20 23:58:05.817790,0 days 00:14:42.236950,0.036257288356714275,dart,0.5269202022176603,1.3233823950362497e-06,depthwise,8.238947632761735e-07,13,7,380,forest,0.013285172869267036,uniform,5.920816086114827e-08,0.946053379537519,COMPLETE
71,0.5203105380447518,2024-03-20 23:58:05.818315,2024-03-21 00:12:36.549393,0 days 00:14:30.731078,0.040486274627017156,dart,0.5152231208515788,1.3059680741958583e-06,depthwise,6.45692409674232e-07,13,7,380,forest,0.017791333659552436,uniform,1.0352845515224667e-08,0.9425624491787888,COMPLETE
72,0.5194818185291636,2024-03-21 00:12:36.550292,2024-03-21 00:26:23.129449,0 days 00:13:46.579157,0.036340356051986746,dart,0.5280641550258548,1.3969543527625337e-06,depthwise,6.229337301365489e-07,13,7,380,forest,0.015069831487264224,uniform,3.294471081967088e-08,0.9958493376119728,COMPLETE
73,0.5045431309180368,2024-03-21 00:26:23.131360,2024-03-21 00:33:14.055532,0 days 00:06:50.924172,0.0356476438723916,dart,0.5249778805088632,4.3544153185611344e-07,depthwise,5.910848425787852e-07,13,9,260,forest,0.013067448938474288,uniform,3.6658424545586785e-08,0.9973467414838214,COMPLETE
74,0.5182621790739272,2024-03-21 00:33:14.057446,2024-03-21 00:46:18.158188,0 days 00:13:04.100742,0.26009162099016986,dart,0.4445212293765487,1.3122214845912312e-06,depthwise,6.731568964365231e-07,13,8,380,forest,0.025884606204758603,uniform,1.0047408453761957e-08,0.9474241684583964,COMPLETE
75,0.5101874464248124,2024-03-21 00:46:18.159190,2024-03-21 01:01:27.317382,0 days 00:15:09.158192,0.04675208876720606,dart,0.4141209844698999,1.1118727848195486e-05,depthwise,5.691113653935421e-08,13,7,400,forest,0.0025332720609781544,uniform,3.413224474093017e-08,0.946064431124713,COMPLETE
76,0.519136002782165,2024-03-21 01:01:27.318384,2024-03-21 01:15:29.054275,0 days 00:14:01.735891,1.7290559254098054e-07,dart,0.508250592145288,2.510369329339912e-05,depthwise,3.0616975171013984e-06,13,7,380,forest,0.013418039668681674,weighted,6.041111595446207e-08,0.9753624238671067,COMPLETE
77,0.46178148148408116,2024-03-21 01:15:29.056264,2024-03-21 01:28:58.829336,0 days 00:13:29.773072,8.026754158420914e-08,dart,0.502243702420581,4.4243784029209355e-06,depthwise,2.004926346121448e-07,13,8,400,tree,0.08119930754804719,weighted,1.8611746650421833e-08,0.9177941480929681,COMPLETE
78,0.5166849708591483,2024-03-21 01:28:58.830115,2024-03-21 01:42:55.574254,0 days 00:13:56.744139,9.508244121276352e-08,dart,0.4813715373792668,2.3471625409976363e-05,depthwise,3.6712716183574895e-06,13,7,380,forest,0.010801407238120123,weighted,9.50712656369379e-08,0.972348721989053,COMPLETE
79,0.513820014831507,2024-03-21 01:42:55.576259,2024-03-21 01:44:51.147850,0 days 00:01:55.571591,0.9732802690290238,gbtree,0.5839570333280752,0.00011946303018481674,depthwise,1.1088224119447864e-05,13,12,380,,,,,0.9810941977002504,COMPLETE
80,0.47593726321419094,2024-03-21 01:44:51.148836,2024-03-21 01:56:07.673396,0 days 00:11:16.524560,0.17216770723041538,dart,0.3770077246081709,8.901466601225158e-06,depthwise,1.676365835743705e-06,7,7,360,forest,4.563068364602752e-05,weighted,2.164456918595641e-07,0.9106188936801588,COMPLETE
81,0.5171721175006122,2024-03-21 01:56:07.675325,2024-03-21 02:09:54.428767,0 days 00:13:46.753442,1.805535464780157e-06,dart,0.5379645364636714,2.0335346760547015e-06,depthwise,8.526293593183428e-07,13,7,380,forest,0.013925490841030558,weighted,8.483762279995887e-08,0.9541476999708147,COMPLETE
82,0.4992848365609325,2024-03-21 02:09:54.430471,2024-03-21 02:23:28.217626,0 days 00:13:33.787155,5.6673516917848535e-06,dart,0.5128176976158098,3.7222841093308995e-07,depthwise,1.101258389310372e-07,13,7,380,forest,0.02549030927608523,uniform,5.917105785592524e-08,0.49584747544449764,COMPLETE
83,0.5126114306105009,2024-03-21 02:23:28.219631,2024-03-21 02:38:01.837951,0 days 00:14:33.618320,0.017844610535100888,dart,0.4562846141030504,5.346908658147632e-06,depthwise,2.3370100509069473e-05,13,7,400,forest,0.00911430409929619,weighted,2.5014018049270332e-08,0.935504802637665,COMPLETE
84,0.5187269267648025,2024-03-21 02:38:01.838969,2024-03-21 02:51:42.264059,0 days 00:13:40.425090,0.558904896149908,dart,0.534104605368712,6.197143156899373e-07,depthwise,2.161500325477262e-06,13,8,380,forest,0.003054577517638373,uniform,4.83137955543031e-08,0.8375311288247884,COMPLETE
85,0.5188928006337681,2024-03-21 02:51:42.266064,2024-03-21 03:05:16.758941,0 days 00:13:34.492877,0.6271666592811745,dart,0.8789148152796389,6.501197317354279e-07,depthwise,2.0674379226681303e-06,13,8,360,forest,0.0012432419360128236,uniform,2.9915090766272317e-07,0.8250643588471981,COMPLETE
86,0.5099255157551934,2024-03-21 03:05:16.759943,2024-03-21 03:17:56.252074,0 days 00:12:39.492131,0.06394138879197579,dart,0.8969548787199028,2.821648448588295e-07,depthwise,5.071449548129626e-06,13,8,360,forest,0.00136101959644807,uniform,3.0523856087830134e-07,0.8966274435285974,COMPLETE
87,0.506158707193833,2024-03-21 03:17:56.253076,2024-03-21 03:24:46.769730,0 days 00:06:50.516654,0.26192431374819825,dart,0.99218303326074,1.907267411488961e-07,depthwise,0.00010544942555311706,13,9,240,forest,0.0006886372587069311,uniform,5.623460187723636e-07,0.8602214039972136,COMPLETE
88,0.5048966508912656,2024-03-21 03:24:46.771725,2024-03-21 03:37:33.001364,0 days 00:12:46.229639,3.098206330048182e-05,dart,0.9004319587470814,2.5308618289440617e-05,depthwise,3.724001552428608e-07,13,10,360,tree,0.004712338513395887,uniform,1.372450938298163e-08,0.9843855639513341,COMPLETE
89,0.5177928559661437,2024-03-21 03:37:33.002608,2024-03-21 03:50:55.629792,0 days 00:13:22.627184,0.37407813294552306,dart,0.8248674213025549,6.908387623261522e-07,depthwise,1.0297326777821512e-05,13,6,360,forest,4.8615412859829294e-08,weighted,1.0098079687966145e-06,0.8286065979577452,COMPLETE
90,0.5090625660129753,2024-03-21 03:50:55.630794,2024-03-21 04:01:58.081744,0 days 00:11:02.450950,0.13419304570870688,dart,0.881550521070086,3.735369624775816e-06,depthwise,4.787057595451302e-05,11,6,340,forest,0.0014010262819204138,uniform,1.7501259434876663e-07,0.9339924815447168,COMPLETE
