number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
20,0.5090930395686398,2024-03-19 13:56:39.664904,2024-03-19 13:56:48.283490,0 days 00:00:08.618586,1.1672243653805505e-07,gbtree,0.4774321011235657,0.03992116302406973,0.07104270724789184,lossguide,0.00808918814237583,13,4,170,,,,,0.22448533197342824,COMPLETE
21,0.5290583457574085,2024-03-19 13:56:48.284491,2024-03-19 13:57:06.563562,0 days 00:00:18.279071,3.3848838728350535e-07,gbtree,0.5976338121325258,0.07605386801809305,0.045922743256589724,lossguide,0.059342678687610166,15,6,190,,,,,0.807095017347566,COMPLETE
22,0.5411492543947751,2024-03-19 13:57:06.566234,2024-03-19 13:57:24.125851,0 days 00:00:17.559617,4.9110018814418975e-06,gbtree,0.6239951170482747,0.05953060293157982,0.49986689334534484,lossguide,0.8761908336937981,15,8,200,,,,,0.985789824170024,COMPLETE
23,0.5252441363629575,2024-03-19 13:57:24.127857,2024-03-19 13:57:43.158380,0 days 00:00:19.030523,1.2649201429638931e-05,gbtree,0.6352454921471802,0.02496758224592792,0.9396368702013723,lossguide,0.8117365318995292,15,8,200,,,,,0.9360519490005059,COMPLETE
24,0.4863455936023282,2024-03-19 13:57:43.160384,2024-03-19 13:57:54.260689,0 days 00:00:11.100305,0.0003990465829074002,gbtree,0.32916558157205156,0.010790868136012696,0.004247109522990157,lossguide,0.15350134602139293,13,9,220,,,,,0.9737800272875916,COMPLETE
25,0.5260338792569323,2024-03-19 13:57:54.261706,2024-03-19 13:58:09.006868,0 days 00:00:14.745162,2.571715391420622e-06,gbtree,0.46049324224641863,0.14666785487735814,0.19307720313601398,lossguide,0.8534750294648142,15,9,200,,,,,0.8384461323939869,COMPLETE
26,0.40709174245402036,2024-03-19 13:58:09.007870,2024-03-19 13:58:31.120573,0 days 00:00:22.112703,1.4725083659932325e-08,gbtree,0.8119997489831212,0.3907393933615088,0.0002222020935394795,lossguide,0.007941373921748618,13,10,220,,,,,0.7317959621464953,COMPLETE
27,0.5383151875866243,2024-03-19 13:58:31.121596,2024-03-19 13:58:48.066014,0 days 00:00:16.944418,9.65523164724272e-08,gbtree,0.6407730679276709,0.048810736930484266,0.2723323879798454,lossguide,0.10811630121894682,15,7,170,,,,,0.525927609792458,COMPLETE
28,0.5354239104971692,2024-03-19 13:58:48.067090,2024-03-19 13:59:02.568376,0 days 00:00:14.501286,9.376777438096903e-08,gbtree,0.526832022758007,0.03233601390685264,0.15608129530048592,lossguide,0.000345704198736638,15,7,170,,,,,0.5151131411127292,COMPLETE
29,0.4404022706006286,2024-03-19 13:59:02.569379,2024-03-19 14:00:15.706594,0 days 00:01:13.137215,2.0604796988510196e-05,dart,0.634482421197121,0.1716322103340107,0.004609245783006854,lossguide,0.0026867844618635684,13,10,230,tree,1.2152254597140182e-08,weighted,0.8458804565193626,0.3340887676588401,COMPLETE
30,0.44695209003844905,2024-03-19 14:00:15.707598,2024-03-19 14:00:23.759524,0 days 00:00:08.051926,2.272366803933655e-06,gbtree,0.4117864814059158,0.011132094552834653,0.04693024528088897,lossguide,0.2799233226086938,9,8,210,,,,,0.8703870912187288,COMPLETE
31,0.5308636379388402,2024-03-19 14:00:23.760512,2024-03-19 14:00:38.648122,0 days 00:00:14.887610,1.1372910152039664e-07,gbtree,0.5377168644394412,0.02992019835098095,0.21824568688698034,lossguide,5.184451282520209e-06,15,7,170,,,,,0.5257895168117183,COMPLETE
32,0.5349641833916186,2024-03-19 14:00:38.649133,2024-03-19 14:00:51.447516,0 days 00:00:12.798383,3.4949762679320744e-08,gbtree,0.5071794482482834,0.04584936863732015,0.1433404572925795,lossguide,0.00023831306895152727,15,7,160,,,,,0.47117332998099337,COMPLETE
33,0.48724055306703506,2024-03-19 14:00:51.449759,2024-03-19 14:01:05.253285,0 days 00:00:13.803526,1.432264252386708e-07,gbtree,0.6480522518783167,0.1345288120806078,0.30390608900318355,lossguide,0.0001983061595767499,15,8,170,,,,,0.3730436834843635,COMPLETE
34,0.374381814165599,2024-03-19 14:01:05.254288,2024-03-19 14:01:39.143093,0 days 00:00:33.888805,2.3531502575766333e-08,dart,0.5567045119399711,0.08583743321422882,1.9216746490599805e-06,depthwise,0.0008179113477376145,15,7,160,tree,0.4847386061189793,weighted,0.002529670911711411,0.5515244545217781,COMPLETE
35,0.46508946281591557,2024-03-19 14:01:39.144098,2024-03-19 14:01:48.759539,0 days 00:00:09.615441,1.4969435112200843e-06,gbtree,0.3646860950809697,0.2377244399909842,0.05230543848109747,lossguide,0.013377353846262886,13,9,170,,,,,0.6572783806686873,COMPLETE
36,0.4821792404775983,2024-03-19 14:01:48.760543,2024-03-19 14:02:24.515683,0 days 00:00:35.755140,5.2298161125502236e-08,dart,0.29311794312142114,0.02635182170986465,0.5836680081007681,depthwise,0.0043763345772859265,13,8,160,forest,2.4242670018331624e-08,weighted,0.0025735585897856436,0.4209877848773403,COMPLETE
37,0.502826525232303,2024-03-19 14:02:24.517688,2024-03-19 14:02:46.435732,0 days 00:00:21.918044,3.0828555678328873e-07,gbtree,0.7519484441126683,0.012123147448929653,0.0254493977755766,lossguide,0.0007581364713799896,15,6,190,,,,,0.49543584691646614,COMPLETE
38,0.5175402140283784,2024-03-19 14:02:46.436731,2024-03-19 14:03:00.886373,0 days 00:00:14.449642,3.872322498184329e-06,gbtree,0.6626890571397291,0.051305580393003376,0.3328212758065456,depthwise,0.050594277398164945,15,9,200,,,,,0.31370055493031174,COMPLETE
39,0.04654813995438787,2024-03-19 14:03:00.887372,2024-03-19 14:04:07.800719,0 days 00:01:06.913347,1.0177980952432862e-08,dart,0.585426184516028,0.00102286643627517,1.0830378887677022e-08,lossguide,7.361959204188085e-08,13,8,210,tree,0.010122386195491948,uniform,1.4839195093669973e-08,0.5966092694648499,COMPLETE
40,0.47509673431423644,2024-03-19 14:04:07.801776,2024-03-19 14:04:21.639053,0 days 00:00:13.837277,1.8203499452408232e-07,gbtree,0.4764459898006441,0.21583597025418802,3.741746133221728e-05,depthwise,0.341629797652406,11,7,240,,,,,0.6764174671292162,COMPLETE
41,0.5336876435547471,2024-03-19 14:04:21.640055,2024-03-19 14:04:34.697724,0 days 00:00:13.057669,4.6332098660084536e-08,gbtree,0.5039203977025214,0.0468226547872149,0.13481303078273948,lossguide,0.0001995368759478818,15,7,160,,,,,0.49285130446615116,COMPLETE
42,0.5135520005541432,2024-03-19 14:04:34.699110,2024-03-19 14:04:46.118757,0 days 00:00:11.419647,7.079080859208591e-08,gbtree,0.4135684540217324,0.022235751452629793,0.009062820263175035,lossguide,2.5203085821396717e-05,15,6,160,,,,,0.46911610586248254,COMPLETE
43,0.5306313620690015,2024-03-19 14:04:46.121486,2024-03-19 14:04:59.123335,0 days 00:00:13.001849,3.0368303651878474e-08,gbtree,0.5069484300514789,0.038247092051731345,0.10255709357452618,lossguide,0.0006443338586870551,15,7,170,,,,,0.4381211378160063,COMPLETE
44,0.5240813184358752,2024-03-19 14:04:59.124333,2024-03-19 14:05:19.915493,0 days 00:00:20.791160,9.834880236446207e-07,gbtree,0.7378836369707715,0.10044391565581973,0.435184524499587,lossguide,0.016856145440063124,15,6,180,,,,,0.5542104260132841,COMPLETE
45,0.4977432845246278,2024-03-19 14:05:19.916497,2024-03-19 14:05:37.256725,0 days 00:00:17.340228,2.165865814576301e-07,gbtree,0.6731882385362292,0.01620520907708752,0.9320916895415474,lossguide,0.05946040615482492,15,7,160,,,,,0.6234579927921723,COMPLETE
46,0.22553230411683556,2024-03-19 14:05:37.257724,2024-03-19 14:05:49.549283,0 days 00:00:12.291559,6.902502714743939e-06,gbtree,0.5651167884273988,0.382659481324792,0.030592166422025478,lossguide,0.00011631680567753149,13,8,180,,,,,0.39116713826680954,COMPLETE
47,0.538755642838483,2024-03-19 14:05:49.550276,2024-03-19 14:06:05.932609,0 days 00:00:16.382333,0.00019246278011250854,gbtree,0.6175782052593314,0.033010758322375655,0.002542266129020484,lossguide,0.44511834647274706,15,8,170,,,,,0.5899039658417471,COMPLETE
