number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0.45124649398783356,2024-03-21 10:48:47.357447,2024-03-21 10:49:32.458966,0 days 00:00:45.101519,0.011280432718050593,gbtree,0.35755895089661505,8.620815677881163e-08,depthwise,0.3182164135070343,11,13,360,,,,,0.3303184412290915,COMPLETE
1,0.48113518866695176,2024-03-21 10:49:32.460969,2024-03-21 11:04:44.406012,0 days 00:15:11.945043,5.577876001420933e-07,dart,0.4648588486166838,6.085059463364753e-07,depthwise,0.005596702515098422,7,7,440,forest,3.219104640181084e-08,uniform,1.676087935643258e-07,0.8131486630800269,COMPLETE
2,0.4143557992077456,2024-03-21 11:04:44.408004,2024-03-21 11:13:02.879819,0 days 00:08:18.471815,0.0037241657739575974,dart,0.8985042887275962,3.23051558537916e-05,depthwise,0.0013180343575145885,7,11,300,forest,0.00017714070534620034,weighted,7.176290598968758e-07,0.2384081917076559,COMPLETE
3,0.5081970227765271,2024-03-21 11:13:02.881826,2024-03-21 11:26:35.246836,0 days 00:13:32.365010,1.1772969439783805e-05,dart,0.8127087667664223,0.010842114350273931,lossguide,6.528153411019515e-05,13,12,360,forest,0.010641095696309227,uniform,0.36682874213498906,0.7035834810853332,COMPLETE
4,0.4965241614241059,2024-03-21 11:26:35.248840,2024-03-21 11:42:39.730613,0 days 00:16:04.481773,3.312584105681881e-08,dart,0.9094542087330313,3.818504501092612e-08,lossguide,0.051031758135771925,11,11,400,tree,2.8098871473261496e-05,uniform,2.952627849606408e-08,0.6826741828828709,COMPLETE
5,0.47224519644681795,2024-03-21 11:42:39.732630,2024-03-21 11:43:23.945606,0 days 00:00:44.212976,0.0035201695020110756,gbtree,0.3251002974432874,0.04214717882065469,lossguide,0.016141958459189185,9,8,340,,,,,0.5315704708585587,COMPLETE
6,0.47475870361599065,2024-03-21 11:43:23.946605,2024-03-21 11:45:04.392045,0 days 00:01:40.445440,9.858892038487295e-06,gbtree,0.782009050102525,1.00308436688717e-06,lossguide,6.733643190598155e-07,7,12,440,,,,,0.7487540774226995,COMPLETE
7,0.49346387976962414,2024-03-21 11:45:04.392045,2024-03-21 11:46:39.017376,0 days 00:01:34.625331,1.7704945929155997e-07,gbtree,0.5956194558744481,4.762964061155488e-08,lossguide,0.004788105410452389,9,11,420,,,,,0.9108105840871084,COMPLETE
8,0.45298619095847525,2024-03-21 11:46:39.018378,2024-03-21 11:47:47.077329,0 days 00:01:08.058951,0.00011697765531846575,gbtree,0.4144032403410767,0.005117069061581238,lossguide,5.231087928556322e-07,13,11,420,,,,,0.26141633311863305,COMPLETE
9,0.47640835570985657,2024-03-21 11:47:47.079319,2024-03-21 11:49:11.353892,0 days 00:01:24.274573,5.5361125107414556e-08,gbtree,0.7519833752304106,5.992149962153196e-07,depthwise,0.01919739807787721,7,11,380,,,,,0.8881151631179676,COMPLETE
10,0.43403014731678236,2024-03-21 11:49:11.354960,2024-03-21 11:58:31.660164,0 days 00:09:20.305204,0.40852897427080537,dart,0.653230276601328,0.6399319814857626,lossguide,2.6380718595654282e-05,13,14,320,forest,0.4415417129846716,uniform,0.6552625056476388,0.515279531162534,COMPLETE
11,0.4963398529740859,2024-03-21 11:58:31.661643,2024-03-21 12:13:11.759795,0 days 00:14:40.098152,6.354398046248658e-06,dart,0.9489983297066296,0.0002559947082066022,lossguide,3.0802467351857674e-05,11,9,380,tree,0.0007124715430063637,uniform,0.03997184329616995,0.6641242598416319,COMPLETE
12,0.49220276933432733,2024-03-21 12:13:11.760816,2024-03-21 12:29:43.728565,0 days 00:16:31.967749,2.961067256578233e-08,dart,0.9794737464560638,0.000188546964142622,lossguide,1.3736285818549293e-08,13,9,400,tree,0.02308265985301365,uniform,0.0003571114663419672,0.6440070444703239,COMPLETE
13,0.4822135996771569,2024-03-21 12:29:43.730605,2024-03-21 12:42:33.240231,0 days 00:12:49.509626,3.0115702758315047e-06,dart,0.8234428514183818,0.005692042518531927,lossguide,0.7983300343020906,11,13,360,tree,1.0395024230172328e-06,uniform,0.00011129033707062746,0.4766036539660605,COMPLETE
14,0.5078896122555941,2024-03-21 12:42:33.241234,2024-03-21 12:58:14.254980,0 days 00:15:41.013746,1.2719748758395171e-08,dart,0.6447114842772662,1.3150546775601212e-05,lossguide,0.0002617011294913195,13,6,400,forest,5.2284172880511996e-06,weighted,1.4611264327812222e-08,0.73089548642282,COMPLETE
15,0.511260631578757,2024-03-21 12:58:14.256970,2024-03-21 13:08:38.923155,0 days 00:10:24.666185,8.092440683868988e-05,dart,0.21456578931698866,2.3990157854282653e-05,lossguide,0.0002899388998634314,13,6,340,forest,0.00911377645101012,weighted,0.003848466701130159,0.9766319317667337,COMPLETE
16,0.514627738865261,2024-03-21 13:08:38.925161,2024-03-21 13:19:09.524431,0 days 00:10:30.599270,0.00016239021518195997,dart,0.24476146373487634,0.001605057149985205,lossguide,3.7431117048161013e-06,13,6,340,forest,0.008859782277554875,weighted,0.004385962173052704,0.9982357026836656,COMPLETE
17,0.5094034805162369,2024-03-21 13:19:09.525432,2024-03-21 13:28:22.965880,0 days 00:09:13.440448,0.0002481112797828983,dart,0.2372786442685671,6.66154110310164e-06,lossguide,1.7028198044755763e-06,13,6,320,forest,0.006817830951207651,weighted,0.0025817969820338873,0.9946056481630414,COMPLETE
18,0.25291715965363865,2024-03-21 13:28:22.967214,2024-03-21 13:35:34.782315,0 days 00:07:11.815101,0.000660296558989986,dart,0.26231290916712746,0.0007290687863905562,depthwise,5.077916475237592e-06,9,7,340,forest,0.894784043125608,weighted,0.007588194769334977,0.9910303039194078,COMPLETE
19,0.4953493827984891,2024-03-21 13:35:34.785142,2024-03-21 13:43:37.130099,0 days 00:08:02.344957,0.23600936991073695,dart,0.20997543705659621,0.0011325775492368132,lossguide,2.9836740356628586e-08,11,7,300,forest,0.0013018626974797888,weighted,4.129645477094734e-06,0.8737865974543361,COMPLETE
20,0.4875753668372333,2024-03-21 13:43:37.131102,2024-03-21 13:53:58.309456,0 days 00:10:21.178354,3.909799890173924e-05,dart,0.47650581884930077,0.3596887205667063,lossguide,0.0005431039879246122,13,8,340,forest,0.08679388334652346,weighted,1.5344422551180793e-05,0.8178322071833897,COMPLETE
